TIME(s)	'pip2,ap2'	'ap2,trans'	'ap2,cd4'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0	0	0
1e-05	0	0	0	0	0	0	0	0	0	0	0
2e-05	1	0	0	0	0	0	0	0	0	0	1
3e-05	2	0	0	0	0	0	0	0	0	0	2
4e-05	2	0	0	0	0	0	0	0	0	0	2
5e-05	5	0	0	0	0	0	0	0	0	0	5
6e-05	5	0	0	0	0	0	0	0	0	0	5
7e-05	6	0	0	0	0	0	0	0	0	0	6
8e-05	8	0	0	0	0	0	0	0	0	0	8
9e-05	10	0	0	0	0	0	0	0	0	0	10
0.0001	10	0	0	0	0	0	0	0	0	0	10
0.00011	10	0	0	0	0	0	0	0	0	0	10
0.00012	11	1	0	0	0	0	0	0	0	0	12
0.00013	12	1	0	0	0	0	0	0	0	0	13
0.00014	12	1	0	0	0	0	0	0	0	0	13
0.00015	12	2	0	0	0	0	0	0	0	0	14
0.00016	12	2	0	0	0	0	0	0	0	0	14
0.00017	12	3	0	0	0	0	0	0	0	0	15
0.00018	13	3	0	0	0	0	0	0	0	0	16
0.00019	15	3	0	0	0	0	0	0	0	0	18
0.0002	15	3	0	0	0	0	0	0	0	0	18
0.00021	15	4	0	0	0	0	0	0	0	0	19
0.00022	15	4	0	0	0	0	0	0	0	0	19
0.00023	16	4	0	0	0	0	0	0	0	0	20
0.00024	17	5	0	0	0	0	0	0	0	0	22
0.00025	17	5	0	0	0	0	0	0	0	0	22
0.00026	17	5	0	0	0	0	0	0	0	0	22
0.00027	17	5	0	0	0	0	0	0	0	0	22
0.00028	17	5	0	0	0	0	0	0	0	0	22
0.00029	17	6	0	0	0	0	0	0	0	0	23
0.0003	17	6	1	0	0	0	0	0	0	0	24
0.00031	18	6	1	0	0	0	0	0	0	0	25
0.00032	18	6	1	0	0	0	0	0	0	0	25
0.00033	18	6	1	0	0	0	0	0	0	0	25
0.00034	18	6	1	0	0	0	0	0	0	0	25
0.00035	20	6	1	0	0	0	0	0	0	0	27
0.00036	22	6	1	0	0	0	0	0	0	0	29
0.00037	22	6	1	0	0	0	0	0	0	0	29
0.00038	22	6	1	0	0	0	0	0	0	0	29
0.00039	22	7	1	0	0	0	0	0	0	0	30
0.0004	22	7	1	0	0	0	0	0	0	0	30
0.00041	23	8	1	0	0	0	0	0	0	0	32
0.00042	24	8	1	0	0	0	0	0	0	0	33
0.00043	25	9	1	0	0	0	0	0	0	0	35
0.00044	25	9	1	0	0	0	0	0	0	0	35
0.00045	25	9	1	0	0	0	0	0	0	0	35
0.00046	25	10	1	0	0	0	0	0	0	0	36
0.00047	25	10	1	0	0	0	0	0	0	0	36
0.00048	25	10	2	0	0	0	0	0	0	0	37
0.00049	25	10	2	0	0	0	0	0	0	0	37
0.0005	25	10	2	0	0	0	0	0	0	0	37
0.00051	26	10	2	0	0	0	0	0	0	0	38
0.00052	26	10	2	0	0	0	0	0	0	0	38
