Time (s),pip2(ap2),ap2(a),ap2(b),ap2(c),trans(ap2),cd4(ap2),ap2(b!1).pip2(ap2!1),ap2(a!1).trans(ap2!1),ap2(c!1).cd4(ap2!1)
0,1000,500,500,500,100,100,0,0,0
1e-05,1000,500,500,500,100,100,0,0,0
2e-05,999,500,499,500,100,100,1,0,0
3e-05,998,500,498,500,100,100,2,0,0
4e-05,998,500,498,500,100,100,2,0,0
5e-05,995,500,495,500,100,100,5,0,0
6e-05,995,500,495,500,100,100,5,0,0
7e-05,994,500,494,500,100,100,6,0,0
8e-05,992,500,492,500,100,100,8,0,0
9e-05,990,500,490,500,100,100,10,0,0
0.0001,990,500,490,500,100,100,10,0,0
0.00011,990,500,490,500,100,100,10,0,0
0.00012,989,499,489,500,99,100,11,1,0
0.00013,988,499,488,500,99,100,12,1,0
0.00014,988,499,488,500,99,100,12,1,0
0.00015,988,498,488,500,98,100,12,2,0
0.00016,988,498,488,500,98,100,12,2,0
0.00017,988,497,488,500,97,100,12,3,0
0.00018,987,497,487,500,97,100,13,3,0
0.00019,985,497,485,500,97,100,15,3,0
0.0002,985,497,485,500,97,100,15,3,0
0.00021,985,496,485,500,96,100,15,4,0
0.00022,985,496,485,500,96,100,15,4,0
0.00023,984,496,484,500,96,100,16,4,0
0.00024,983,495,483,500,95,100,17,5,0
0.00025,983,495,483,500,95,100,17,5,0
0.00026,983,495,483,500,95,100,17,5,0
0.00027,983,495,483,500,95,100,17,5,0
0.00028,983,495,483,500,95,100,17,5,0
0.00029,983,494,483,500,94,100,17,6,0
0.0003,983,494,483,499,94,99,17,6,1
0.00031,982,494,482,499,94,99,18,6,1
0.00032,982,494,482,499,94,99,18,6,1
0.00033,982,494,482,499,94,99,18,6,1
0.00034,982,494,482,499,94,99,18,6,1
0.00035,980,494,480,499,94,99,20,6,1
0.00036,978,494,478,499,94,99,22,6,1
0.00037,978,494,478,499,94,99,22,6,1
0.00038,978,494,478,499,94,99,22,6,1
0.00039,978,493,478,499,93,99,22,7,1
0.0004,978,493,478,499,93,99,22,7,1
0.00041,977,492,477,499,92,99,23,8,1
0.00042,976,492,476,499,92,99,24,8,1
0.00043,975,491,475,499,91,99,25,9,1
0.00044,975,491,475,499,91,99,25,9,1
0.00045,975,491,475,499,91,99,25,9,1
0.00046,975,490,475,499,90,99,25,10,1
0.00047,975,490,475,499,90,99,25,10,1
0.00048,975,490,475,498,90,98,25,10,2
0.00049,975,490,475,498,90,98,25,10,2
0.0005,975,490,475,498,90,98,25,10,2
0.00051,974,490,474,498,90,98,26,10,2
0.00052,974,490,474,498,90,98,26,10,2
0.00053,974,490,474,498,90,98,26,10,2
0.00054,974,490,474,498,90,98,26,10,2
0.00055,973,490,473,498,90,98,27,10,2
0.00056,973,490,473,498,90,98,27,10,2
0.00057,973,489,473,498,89,98,27,11,2
0.00058,971,489,471,498,89,98,29,11,2
0.00059,971,489,471,498,89,98,29,11,2
0.0006,971,489,471,498,89,98,29,11,2
0.00061,971,489,471,498,89,98,29,11,2
0.00062,971,489,471,498,89,98,29,11,2
0.00063,970,489,470,498,89,98,30,11,2
0.00064,970,489,470,498,89,98,30,11,2
0.00065,970,489,470,498,89,98,30,11,2
0.00066,970,489,470,498,89,98,30,11,2
0.00067,970,489,470,498,89,98,30,11,2
0.00068,970,489,470,498,89,98,30,11,2
0.00069,970,489,470,498,89,98,30,11,2
0.0007,970,488,470,498,88,98,30,12,2
0.00071,969,488,469,498,88,98,31,12,2
0.00072,969,488,469,498,88,98,31,12,2
0.00073,968,488,468,498,88,98,32,12,2
0.00074,968,488,468,498,88,98,32,12,2
0.00075,968,487,468,498,87,98,32,13,2
0.00076,967,487,467,498,87,98,33,13,2
0.00077,967,487,467,498,87,98,33,13,2
0.00078,966,487,466,498,87,98,34,13,2
0.00079,966,487,466,498,87,98,34,13,2
0.0008,965,486,465,498,86,98,35,14,2
0.00081,965,486,465,498,86,98,35,14,2
0.00082,965,486,465,498,86,98,35,14,2
0.00083,965,486,465,498,86,98,35,14,2
0.00084,964,486,464,498,86,98,36,14,2
0.00085,964,485,464,498,85,98,36,15,2
0.00086,964,485,464,498,85,98,36,15,2
0.00087,964,485,464,498,85,98,36,15,2
0.00088,963,485,463,498,85,98,37,15,2
0.00089,963,485,463,498,85,98,37,15,2
0.0009,963,485,463,498,85,98,37,15,2
0.00091,962,485,462,498,85,98,38,15,2
0.00092,962,485,462,498,85,98,38,15,2
0.00093,962,485,462,498,85,98,38,15,2
0.00094,961,485,461,498,85,98,39,15,2
0.00095,961,485,461,498,85,98,39,15,2
0.00096,962,485,462,498,85,98,38,15,2
0.00097,962,485,462,498,85,98,38,15,2
0.00098,961,485,461,498,85,98,39,15,2
0.00099,961,485,461,498,85,98,39,15,2
0.001,961,485,461,498,85,98,39,15,2
0.00101,961,485,461,498,85,98,39,15,2
0.00102,960,484,460,498,84,98,40,16,2
0.00103,960,484,460,498,84,98,40,16,2
0.00104,960,484,460,498,84,98,40,16,2
0.00105,959,484,459,498,84,98,41,16,2
0.00106,959,484,459,498,84,98,41,16,2
0.00107,959,483,459,498,83,98,41,17,2
0.00108,959,483,459,498,83,98,41,17,2
0.00109,959,482,459,498,82,98,41,18,2
0.0011,959,482,459,498,82,98,41,18,2
0.00111,958,482,458,498,82,98,42,18,2
0.00112,958,482,458,498,82,98,42,18,2
0.00113,958,482,458,498,82,98,42,18,2
0.00114,959,482,459,498,82,98,41,18,2
0.00115,959,482,459,498,82,98,41,18,2
0.00116,959,482,459,498,82,98,41,18,2
0.00117,958,482,458,498,82,98,42,18,2
0.00118,958,482,458,498,82,98,42,18,2
0.00119,958,482,458,498,82,98,42,18,2
0.0012,958,482,458,498,82,98,42,18,2
0.00121,958,482,458,498,82,98,42,18,2
0.00122,958,482,458,498,82,98,42,18,2
0.00123,958,482,458,498,82,98,42,18,2
0.00124,957,482,457,498,82,98,43,18,2
0.00125,957,482,457,498,82,98,43,18,2
0.00126,956,481,456,497,81,97,44,19,3
0.00127,956,481,456,497,81,97,44,19,3
0.00128,956,481,456,497,81,97,44,19,3
0.00129,956,481,456,497,81,97,44,19,3
0.0013,955,480,455,497,80,97,45,20,3
0.00131,955,479,455,497,79,97,45,21,3
0.00132,955,478,455,497,78,97,45,22,3
0.00133,955,478,455,497,78,97,45,22,3
0.00134,954,478,454,497,78,97,46,22,3
0.00135,954,478,454,497,78,97,46,22,3
0.00136,953,478,453,497,78,97,47,22,3
0.00137,952,478,452,497,78,97,48,22,3
0.00138,950,478,450,497,78,97,50,22,3
0.00139,949,477,449,497,77,97,51,23,3
0.0014,949,477,449,497,77,97,51,23,3
0.00141,949,477,449,497,77,97,51,23,3
0.00142,949,477,449,497,77,97,51,23,3
0.00143,949,477,449,497,77,97,51,23,3
0.00144,949,477,449,497,77,97,51,23,3
0.00145,949,477,449,497,77,97,51,23,3
0.00146,949,477,449,497,77,97,51,23,3
0.00147,949,477,449,497,77,97,51,23,3
0.00148,948,477,448,497,77,97,52,23,3
0.00149,947,477,447,497,77,97,53,23,3
0.0015,946,476,446,497,76,97,54,24,3
0.00151,946,476,446,497,76,97,54,24,3
0.00152,945,476,445,497,76,97,55,24,3
0.00153,945,476,445,497,76,97,55,24,3
0.00154,943,476,443,497,76,97,57,24,3
0.00155,943,476,443,497,76,97,57,24,3
0.00156,942,476,442,497,76,97,58,24,3
0.00157,941,476,441,497,76,97,59,24,3
0.00158,941,476,441,496,76,96,59,24,4
0.00159,940,476,440,496,76,96,60,24,4
0.0016,940,475,440,496,75,96,60,25,4
0.00161,940,475,440,496,75,96,60,25,4
0.00162,941,475,441,496,75,96,59,25,4
0.00163,941,475,441,496,75,96,59,25,4
0.00164,941,474,441,496,74,96,59,26,4
0.00165,940,474,440,496,74,96,60,26,4
0.00166,939,474,439,496,74,96,61,26,4
0.00167,939,473,439,496,73,96,61,27,4
0.00168,939,473,439,496,73,96,61,27,4
0.00169,939,473,439,496,73,96,61,27,4
0.0017,938,473,438,496,73,96,62,27,4
0.00171,938,473,438,496,73,96,62,27,4
0.00172,937,473,437,496,73,96,63,27,4
0.00173,937,473,437,496,73,96,63,27,4
0.00174,937,473,437,496,73,96,63,27,4
0.00175,937,472,437,496,72,96,63,28,4
0.00176,937,472,437,496,72,96,63,28,4
0.00177,937,472,437,496,72,96,63,28,4
0.00178,937,472,437,496,72,96,63,28,4
0.00179,937,472,437,496,72,96,63,28,4
0.0018,936,471,436,495,71,95,64,29,5
0.00181,937,471,437,495,71,95,63,29,5
0.00182,937,471,437,495,71,95,63,29,5
0.00183,937,471,437,495,71,95,63,29,5
0.00184,936,471,436,495,71,95,64,29,5
0.00185,936,470,436,494,70,94,64,30,6
0.00186,935,470,435,494,70,94,65,30,6
0.00187,935,470,435,494,70,94,65,30,6
0.00188,935,470,435,494,70,94,65,30,6
0.00189,934,470,434,494,70,94,66,30,6
0.0019,932,470,432,494,70,94,68,30,6
0.00191,930,470,430,494,70,94,70,30,6
0.00192,930,470,430,494,70,94,70,30,6
0.00193,929,470,429,494,70,94,71,30,6
0.00194,929,470,429,494,70,94,71,30,6
0.00195,928,470,428,494,70,94,72,30,6
0.00196,928,469,428,494,69,94,72,31,6
0.00197,928,469,428,494,69,94,72,31,6
0.00198,928,468,428,494,68,94,72,32,6
0.00199,926,467,426,494,67,94,74,33,6
0.002,926,467,426,495,67,95,74,33,5
0.00201,926,467,426,494,67,94,74,33,6
0.00202,926,467,426,494,67,94,74,33,6
0.00203,926,467,426,494,67,94,74,33,6
0.00204,926,467,426,494,67,94,74,33,6
0.00205,925,467,425,494,67,94,75,33,6
0.00206,925,467,425,494,67,94,75,33,6
0.00207,925,467,425,494,67,94,75,33,6
0.00208,925,467,425,494,67,94,75,33,6
0.00209,925,468,425,493,68,93,75,32,7
0.0021,925,468,425,493,68,93,75,32,7
0.00211,925,468,425,493,68,93,75,32,7
0.00212,925,468,425,493,68,93,75,32,7
0.00213,925,468,425,493,68,93,75,32,7
0.00214,925,468,425,493,68,93,75,32,7
0.00215,925,467,425,493,67,93,75,33,7
0.00216,925,467,425,493,67,93,75,33,7
0.00217,924,467,424,493,67,93,76,33,7
0.00218,924,467,424,493,67,93,76,33,7
0.00219,924,467,424,493,67,93,76,33,7
0.0022,924,467,424,492,67,92,76,33,8
0.00221,924,467,424,491,67,91,76,33,9
0.00222,924,467,424,491,67,91,76,33,9
0.00223,924,467,424,491,67,91,76,33,9
0.00224,924,467,424,491,67,91,76,33,9
0.00225,924,467,424,491,67,91,76,33,9
0.00226,924,467,424,491,67,91,76,33,9
0.00227,924,466,424,491,66,91,76,34,9
0.00228,924,466,424,491,66,91,76,34,9
0.00229,924,466,424,491,66,91,76,34,9
0.0023,924,465,424,491,65,91,76,35,9
0.00231,924,464,424,491,64,91,76,36,9
0.00232,924,464,424,491,64,91,76,36,9
0.00233,924,464,424,491,64,91,76,36,9
0.00234,924,464,424,491,64,91,76,36,9
0.00235,923,464,423,491,64,91,77,36,9
0.00236,922,464,422,491,64,91,78,36,9
0.00237,920,464,420,491,64,91,80,36,9
0.00238,920,464,420,491,64,91,80,36,9
0.00239,918,464,418,491,64,91,82,36,9
0.0024,917,464,417,491,64,91,83,36,9
0.00241,917,464,417,491,64,91,83,36,9
0.00242,918,463,418,492,63,92,82,37,8
0.00243,918,463,418,492,63,92,82,37,8
0.00244,918,462,418,492,62,92,82,38,8
0.00245,918,461,418,492,61,92,82,39,8
0.00246,918,461,418,492,61,92,82,39,8
0.00247,918,461,418,492,61,92,82,39,8
0.00248,917,461,417,492,61,92,83,39,8
0.00249,917,461,417,492,61,92,83,39,8
0.0025,917,461,417,492,61,92,83,39,8
0.00251,917,461,417,492,61,92,83,39,8
0.00252,915,461,415,492,61,92,85,39,8
0.00253,915,461,415,492,61,92,85,39,8
0.00254,914,461,414,492,61,92,86,39,8
0.00255,914,461,414,492,61,92,86,39,8
0.00256,914,461,414,492,61,92,86,39,8
0.00257,913,461,413,492,61,92,87,39,8
0.00258,913,461,413,492,61,92,87,39,8
0.00259,913,461,413,492,61,92,87,39,8
0.0026,913,461,413,492,61,92,87,39,8
0.00261,913,461,413,492,61,92,87,39,8
0.00262,911,461,411,492,61,92,89,39,8
0.00263,911,460,411,492,60,92,89,40,8
0.00264,910,460,410,492,60,92,90,40,8
0.00265,909,460,409,492,60,92,91,40,8
0.00266,909,460,409,491,60,91,91,40,9
0.00267,909,460,409,491,60,91,91,40,9
0.00268,909,460,409,491,60,91,91,40,9
0.00269,909,460,409,491,60,91,91,40,9
0.0027,907,460,407,491,60,91,93,40,9
0.00271,906,460,406,491,60,91,94,40,9
0.00272,905,460,405,491,60,91,95,40,9
0.00273,905,460,405,491,60,91,95,40,9
0.00274,905,460,405,490,60,90,95,40,10
0.00275,905,460,405,490,60,90,95,40,10
0.00276,905,460,405,490,60,90,95,40,10
0.00277,904,460,404,490,60,90,96,40,10
0.00278,903,460,403,490,60,90,97,40,10
0.00279,903,460,403,490,60,90,97,40,10
0.0028,903,460,403,490,60,90,97,40,10
0.00281,902,460,402,490,60,90,98,40,10
0.00282,902,460,402,490,60,90,98,40,10
0.00283,902,460,402,490,60,90,98,40,10
0.00284,902,460,402,490,60,90,98,40,10
0.00285,902,460,402,490,60,90,98,40,10
0.00286,902,459,402,490,59,90,98,41,10
0.00287,902,459,402,490,59,90,98,41,10
0.00288,902,459,402,490,59,90,98,41,10
0.00289,901,459,401,490,59,90,99,41,10
0.0029,901,459,401,490,59,90,99,41,10
0.00291,901,459,401,490,59,90,99,41,10
0.00292,901,459,401,490,59,90,99,41,10
0.00293,901,458,401,490,58,90,99,42,10
0.00294,901,457,401,490,57,90,99,43,10
0.00295,901,457,401,490,57,90,99,43,10
0.00296,901,457,401,490,57,90,99,43,10
0.00297,902,457,402,490,57,90,98,43,10
0.00298,902,457,402,490,57,90,98,43,10
0.00299,901,456,401,489,56,89,99,44,11
0.003,901,456,401,489,56,89,99,44,11
0.00301,902,456,402,489,56,89,98,44,11
0.00302,902,455,402,489,55,89,98,45,11
0.00303,901,455,401,489,55,89,99,45,11
0.00304,900,455,400,489,55,89,100,45,11
0.00305,898,455,398,489,55,89,102,45,11
0.00306,898,455,398,489,55,89,102,45,11
0.00307,897,455,397,489,55,89,103,45,11
0.00308,897,455,397,489,55,89,103,45,11
0.00309,897,455,397,488,55,88,103,45,12
0.0031,897,455,397,488,55,88,103,45,12
0.00311,896,454,396,488,54,88,104,46,12
0.00312,896,454,396,488,54,88,104,46,12
0.00313,896,454,396,488,54,88,104,46,12
0.00314,895,454,395,488,54,88,105,46,12
0.00315,895,454,395,488,54,88,105,46,12
0.00316,895,454,395,488,54,88,105,46,12
0.00317,894,454,394,488,54,88,106,46,12
0.00318,894,453,394,488,53,88,106,47,12
0.00319,895,452,395,488,52,88,105,48,12
0.0032,895,452,395,488,52,88,105,48,12
0.00321,894,452,394,487,52,87,106,48,13
0.00322,894,451,394,487,51,87,106,49,13
0.00323,893,451,393,487,51,87,107,49,13
0.00324,892,451,392,487,51,87,108,49,13
0.00325,892,451,392,487,51,87,108,49,13
0.00326,892,451,392,486,51,86,108,49,14
0.00327,892,451,392,486,51,86,108,49,14
0.00328,892,451,392,486,51,86,108,49,14
0.00329,891,451,391,486,51,86,109,49,14
0.0033,891,451,391,486,51,86,109,49,14
0.00331,891,451,391,486,51,86,109,49,14
0.00332,890,451,390,486,51,86,110,49,14
0.00333,889,452,389,486,52,86,111,48,14
0.00334,889,451,389,486,51,86,111,49,14
0.00335,889,451,389,486,51,86,111,49,14
0.00336,888,451,388,486,51,86,112,49,14
0.00337,888,451,388,486,51,86,112,49,14
0.00338,887,451,387,486,51,86,113,49,14
0.00339,887,452,387,486,52,86,113,48,14
0.0034,885,452,385,486,52,86,115,48,14
0.00341,885,451,385,486,51,86,115,49,14
0.00342,885,451,385,486,51,86,115,49,14
0.00343,885,451,385,486,51,86,115,49,14
