TIME (s) 	MONO:pip2	DIMERS W:pip2	MONO:ap2	DIMERS W:ap2	MONO:trans	DIMERS W:trans	MONO:cd4	DIMERS W:cd4	
0	1000	0	500	0	100	0	100	0	
1e-05	1000	0	500	0	100	0	100	0	
2e-05	999	1	499	1	100	0	100	0	
3e-05	998	2	498	2	100	0	100	0	
4e-05	998	2	498	2	100	0	100	0	
5e-05	995	5	495	5	100	0	100	0	
6e-05	995	5	495	5	100	0	100	0	
7e-05	994	6	494	6	100	0	100	0	
8e-05	992	8	492	8	100	0	100	0	
9e-05	990	10	490	10	100	0	100	0	
0.0001	990	10	490	10	100	0	100	0	
0.00011	990	10	490	10	100	0	100	0	
0.00012	989	10	489	10	99	0	100	0	
0.00013	988	11	488	11	99	0	100	0	
0.00014	988	11	488	11	99	0	100	0	
0.00015	988	10	488	10	98	0	100	0	
0.00016	988	10	488	10	98	0	100	0	
0.00017	988	9	488	9	97	0	100	0	
0.00018	987	10	487	10	97	0	100	0	
0.00019	985	12	485	12	97	0	100	0	
0.0002	985	12	485	12	97	0	100	0	
0.00021	985	11	485	11	96	0	100	0	
0.00022	985	11	485	11	96	0	100	0	
0.00023	984	12	484	12	96	0	100	0	
0.00024	983	12	483	12	95	0	100	0	
0.00025	983	12	483	12	95	0	100	0	
0.00026	983	12	483	12	95	0	100	0	
0.00027	983	12	483	12	95	0	100	0	
0.00028	983	12	483	12	95	0	100	0	
0.00029	983	11	483	11	94	0	100	0	
0.0003	983	10	483	10	94	0	99	0	
0.00031	982	11	482	11	94	0	99	0	
0.00032	982	11	482	11	94	0	99	0	
0.00033	982	11	482	11	94	0	99	0	
0.00034	982	11	482	11	94	0	99	0	
0.00035	980	13	480	13	94	0	99	0	
0.00036	978	15	478	15	94	0	99	0	
0.00037	978	15	478	15	94	0	99	0	
0.00038	978	15	478	15	94	0	99	0	
0.00039	978	14	478	14	93	0	99	0	
0.0004	978	14	478	14	93	0	99	0	
0.00041	977	14	477	14	92	0	99	0	
0.00042	976	15	476	15	92	0	99	0	
0.00043	975	15	475	15	91	0	99	0	
0.00044	975	15	475	15	91	0	99	0	
0.00045	975	15	475	15	91	0	99	0	
0.00046	975	14	475	14	90	0	99	0	
0.00047	975	14	475	14	90	0	99	0	
0.00048	975	13	475	13	90	0	98	0	
0.00049	975	13	475	13	90	0	98	0	
0.0005	975	13	475	13	90	0	98	0	
0.00051	974	14	474	14	90	0	98	0	
0.00052	974	14	474	14	90	0	98	0	
0.00053	974	14	474	14	90	0	98	0	
0.00054	974	14	474	14	90	0	98	0	
0.00055	973	15	473	15	90	0	98	0	
0.00056	973	15	473	15	90	0	98	0	
0.00057	973	14	473	14	89	0	98	0	
0.00058	971	16	471	16	89	0	98	0	
0.00059	971	16	471	16	89	0	98	0	
0.0006	971	16	471	16	89	0	98	0	
0.00061	971	16	471	16	89	0	98	0	
0.00062	971	16	471	16	89	0	98	0	
0.00063	970	17	470	17	89	0	98	0	
0.00064	970	17	470	17	89	0	98	0	
0.00065	970	17	470	17	89	0	98	0	
0.00066	970	17	470	17	89	0	98	0	
0.00067	970	17	470	17	89	0	98	0	
0.00068	970	17	470	17	89	0	98	0	
0.00069	970	17	470	17	89	0	98	0	
0.0007	970	16	470	16	88	0	98	0	
0.00071	969	17	469	17	88	0	98	0	
0.00072	969	17	469	17	88	0	98	0	
0.00073	968	18	468	18	88	0	98	0	
0.00074	968	18	468	18	88	0	98	0	
0.00075	968	17	468	17	87	0	98	0	
0.00076	967	18	467	18	87	0	98	0	
0.00077	967	18	467	18	87	0	98	0	
0.00078	966	19	466	19	87	0	98	0	
0.00079	966	19	466	19	87	0	98	0	
0.0008	965	19	465	19	86	0	98	0	
0.00081	965	19	465	19	86	0	98	0	
0.00082	965	19	465	19	86	0	98	0	
0.00083	965	19	465	19	86	0	98	0	
0.00084	964	20	464	20	86	0	98	0	
0.00085	964	19	464	19	85	0	98	0	
0.00086	964	19	464	19	85	0	98	0	
0.00087	964	19	464	19	85	0	98	0	
0.00088	963	20	463	20	85	0	98	0	
0.00089	963	20	463	20	85	0	98	0	
0.0009	963	20	463	20	85	0	98	0	
0.00091	962	21	462	21	85	0	98	0	
0.00092	962	21	462	21	85	0	98	0	
0.00093	962	21	462	21	85	0	98	0	
0.00094	961	22	461	22	85	0	98	0	
0.00095	961	22	461	22	85	0	98	0	
0.00096	962	21	462	21	85	0	98	0	
0.00097	962	21	462	21	85	0	98	0	
0.00098	961	22	461	22	85	0	98	0	
0.00099	961	22	461	22	85	0	98	0	
0.001	961	22	461	22	85	0	98	0	
0.00101	961	22	461	22	85	0	98	0	
0.00102	960	22	460	22	84	0	98	0	
0.00103	960	22	460	22	84	0	98	0	
0.00104	960	22	460	22	84	0	98	0	
0.00105	959	23	459	23	84	0	98	0	
0.00106	959	23	459	23	84	0	98	0	
0.00107	959	22	459	22	83	0	98	0	
0.00108	959	22	459	22	83	0	98	0	
0.00109	959	21	459	21	82	0	98	0	
0.0011	959	21	459	21	82	0	98	0	
0.00111	958	22	458	22	82	0	98	0	
0.00112	958	22	458	22	82	0	98	0	
0.00113	958	22	458	22	82	0	98	0	
0.00114	959	21	459	21	82	0	98	0	
0.00115	959	21	459	21	82	0	98	0	
0.00116	959	21	459	21	82	0	98	0	
0.00117	958	22	458	22	82	0	98	0	
0.00118	958	22	458	22	82	0	98	0	
0.00119	958	22	458	22	82	0	98	0	
0.0012	958	22	458	22	82	0	98	0	
0.00121	958	22	458	22	82	0	98	0	
0.00122	958	22	458	22	82	0	98	0	
0.00123	958	22	458	22	82	0	98	0	
0.00124	957	23	457	23	82	0	98	0	
0.00125	957	23	457	23	82	0	98	0	
0.00126	956	23	456	23	81	0	97	0	
0.00127	956	23	456	23	81	0	97	0	
0.00128	956	23	456	23	81	0	97	0	
0.00129	956	23	456	23	81	0	97	0	
0.0013	955	23	455	23	80	0	97	0	
0.00131	955	22	455	22	79	0	97	0	
0.00132	955	21	455	21	78	0	97	0	
0.00133	955	21	455	21	78	0	97	0	
0.00134	954	22	454	22	78	0	97	0	
0.00135	954	22	454	22	78	0	97	0	
0.00136	953	23	453	23	78	0	97	0	
0.00137	952	24	452	24	78	0	97	0	
0.00138	950	26	450	26	78	0	97	0	
0.00139	949	26	449	26	77	0	97	0	
0.0014	949	26	449	26	77	0	97	0	
0.00141	949	26	449	26	77	0	97	0	
0.00142	949	26	449	26	77	0	97	0	
0.00143	949	26	449	26	77	0	97	0	
0.00144	949	26	449	26	77	0	97	0	
0.00145	949	26	449	26	77	0	97	0	
0.00146	949	26	449	26	77	0	97	0	
0.00147	949	26	449	26	77	0	97	0	
0.00148	948	27	448	27	77	0	97	0	
0.00149	947	28	447	28	77	0	97	0	
0.0015	946	28	446	28	76	0	97	0	
0.00151	946	28	446	28	76	0	97	0	
0.00152	945	29	445	29	76	0	97	0	
0.00153	945	29	445	29	76	0	97	0	
0.00154	943	31	443	31	76	0	97	0	
0.00155	943	31	443	31	76	0	97	0	
0.00156	942	32	442	32	76	0	97	0	
0.00157	941	33	441	33	76	0	97	0	
0.00158	941	33	441	33	76	0	96	0	
0.00159	940	34	440	34	76	0	96	0	
0.0016	940	33	440	33	75	0	96	0	
0.00161	940	33	440	33	75	0	96	0	
0.00162	941	32	441	32	75	0	96	0	
0.00163	941	32	441	32	75	0	96	0	
0.00164	941	31	441	31	74	0	96	0	
0.00165	940	32	440	32	74	0	96	0	
0.00166	939	33	439	33	74	0	96	0	
0.00167	939	32	439	32	73	0	96	0	
0.00168	939	32	439	32	73	0	96	0	
0.00169	939	32	439	32	73	0	96	0	
0.0017	938	33	438	33	73	0	96	0	
0.00171	938	33	438	33	73	0	96	0	
