TIME (s) 	MONO:pip2	DIMERS W:pip2	MONO:ap2	DIMERS W:ap2	MONO:trans	DIMERS W:trans	MONO:aak1	DIMERS W:aak1	
0	1000	0	500	0	100	0	100	0	
1e-05	1000	0	500	0	100	0	100	0	
2e-05	1000	0	500	0	100	0	100	0	
3e-05	1000	0	500	0	100	0	100	0	
4e-05	1000	0	500	0	100	0	100	0	
5e-05	1000	0	500	0	100	0	100	0	
6e-05	999	1	499	1	100	0	100	0	
7e-05	999	1	499	1	100	0	100	0	
8e-05	999	0	499	0	100	0	99	0	
9e-05	999	0	499	0	100	0	99	0	
0.0001	998	1	498	1	100	0	99	0	
0.00011	998	1	498	1	100	0	99	0	
0.00012	998	1	498	1	100	0	99	0	
0.00013	998	1	498	1	100	0	99	0	
0.00014	998	0	498	0	100	0	98	0	
0.00015	997	1	497	1	100	0	98	0	
0.00016	996	1	496	1	100	0	97	0	
0.00017	996	1	496	1	100	0	97	0	
0.00018	995	2	495	2	100	0	97	0	
0.00019	995	2	495	2	100	0	97	0	
0.0002	993	3	493	3	100	0	96	0	
0.00021	993	2	493	2	100	0	95	0	
0.00022	992	2	492	2	100	0	94	0	
0.00023	990	3	490	3	100	0	93	0	
0.00024	990	2	490	2	100	0	92	0	
0.00025	989	1	489	1	100	0	90	0	
0.00026	988	2	488	2	100	0	90	0	
0.00027	987	3	487	3	100	0	90	0	
0.00028	987	3	487	3	100	0	90	0	
0.00029	986	5	486	5	100	0	91	0	
0.0003	986	4	486	4	100	0	90	0	
0.00031	987	4	486	5	100	0	90	1	
0.00032	987	4	486	5	100	0	90	1	
0.00033	987	3	486	4	100	0	89	1	
0.00034	986	4	485	5	100	0	89	1	
0.00035	985	4	484	5	100	0	88	1	
0.00036	985	4	484	5	100	0	88	1	
0.00037	985	3	484	4	100	0	87	1	
0.00038	983	4	482	5	100	0	86	1	
0.00039	983	3	482	4	100	0	85	1	
0.0004	983	3	482	4	100	0	85	1	
0.00041	983	3	482	4	100	0	85	1	
0.00042	983	3	482	4	100	0	85	1	
0.00043	983	3	482	4	100	0	85	1	
0.00044	981	5	480	6	100	0	85	1	
0.00045	980	3	479	4	100	0	82	1	
0.00046	979	3	478	4	100	0	81	1	
0.00047	979	2	478	3	100	0	80	1	
0.00048	979	1	478	2	100	0	79	1	
0.00049	978	2	477	3	100	0	79	1	
0.0005	977	2	476	3	100	0	78	1	
0.00051	977	0	476	1	100	0	76	1	
0.00052	977	0	476	1	100	0	76	1	
0.00053	977	0	476	1	100	0	76	1	
0.00054	977	1	476	2	100	0	77	1	
0.00055	977	1	476	2	100	0	77	1	
0.00056	977	1	476	2	100	0	77	1	
0.00057	977	1	476	2	100	0	77	1	
0.00058	977	1	476	2	100	0	77	1	
0.00059	976	2	475	3	100	0	77	1	
0.0006	974	3	473	4	100	0	76	1	
0.00061	974	3	473	4	100	0	76	1	
0.00062	974	3	473	4	100	0	76	1	
0.00063	972	3	471	4	100	0	74	1	
0.00064	972	2	471	3	100	0	73	1	
0.00065	972	2	471	3	100	0	73	1	
0.00066	972	0	471	1	100	0	71	1	
0.00067	972	0	471	1	100	0	71	1	
0.00068	971	2	470	3	100	0	72	1	
0.00069	971	0	470	1	100	0	70	1	
0.0007	971	0	470	1	100	0	70	1	
0.00071	971	0	470	1	100	0	70	1	
0.00072	971	0	470	1	100	0	70	1	
0.00073	970	1	469	2	100	0	70	1	
0.00074	970	1	469	2	100	0	70	1	
0.00075	970	0	469	1	100	0	69	1	
0.00076	970	0	469	1	100	0	69	1	
0.00077	970	0	469	1	100	0	69	1	
0.00078	970	0	469	1	100	0	69	1	
0.00079	969	1	468	2	100	0	69	1	
0.0008	969	2	468	3	100	0	70	1	
0.00081	968	1	467	2	100	0	68	1	
0.00082	968	1	467	2	100	0	68	1	
0.00083	967	3	466	4	100	0	69	1	
0.00084	966	3	465	4	100	0	68	1	
0.00085	965	3	464	4	100	0	67	1	
0.00086	965	3	464	4	100	0	67	1	
0.00087	965	4	464	5	100	0	68	1	
0.00088	965	3	464	4	100	0	67	1	
0.00089	965	2	464	3	100	0	66	1	
0.0009	965	2	464	3	100	0	66	1	
0.00091	965	1	464	2	100	0	65	1	
0.00092	964	2	463	3	100	0	65	1	
0.00093	964	3	463	4	100	0	66	1	
0.00094	964	3	463	4	100	0	66	1	
0.00095	963	4	462	5	100	0	66	1	
0.00096	961	5	461	5	100	0	66	0	
0.00097	961	5	461	5	100	0	66	0	
0.00098	961	5	461	5	100	0	66	0	
0.00099	960	5	460	5	100	0	65	0	
0.001	959	5	459	5	100	0	64	0	
0.00101	959	5	459	5	100	0	64	0	
0.00102	959	4	459	4	100	0	63	0	
0.00103	959	4	459	4	100	0	63	0	
0.00104	959	4	459	4	100	0	63	0	
0.00105	959	3	459	3	100	0	62	0	
0.00106	959	4	459	4	100	0	63	0	
0.00107	959	4	459	4	100	0	63	0	
0.00108	958	5	458	5	100	0	63	0	
0.00109	958	2	458	2	100	0	60	0	
0.0011	957	3	457	3	100	0	60	0	
0.00111	956	3	456	3	100	0	59	0	
0.00112	956	3	456	3	100	0	59	0	
0.00113	956	4	456	4	100	0	60	0	
0.00114	955	5	455	5	100	0	60	0	
0.00115	955	6	455	6	100	0	61	0	
0.00116	955	4	455	4	100	0	59	0	
0.00117	953	5	453	5	100	0	58	0	
0.00118	953	4	453	4	100	0	57	0	
0.00119	952	5	452	5	100	0	57	0	
0.0012	952	6	452	6	100	0	58	0	
0.00121	952	5	452	5	100	0	57	0	
0.00122	952	6	452	6	100	0	58	0	
0.00123	952	3	452	3	100	0	55	0	
0.00124	951	3	451	3	100	0	54	0	
0.00125	951	2	451	2	100	0	53	0	
0.00126	951	2	451	2	100	0	53	0	
0.00127	951	1	451	1	100	0	52	0	
0.00128	950	2	450	2	100	0	52	0	
0.00129	949	3	449	3	100	0	52	0	
0.0013	949	3	449	3	100	0	52	0	
0.00131	949	4	449	4	100	0	53	0	
0.00132	949	4	449	4	100	0	53	0	
0.00133	949	3	449	3	100	0	52	0	
0.00134	949	1	449	1	100	0	50	0	
0.00135	949	2	449	2	100	0	51	0	
0.00136	948	2	448	2	100	0	50	0	
0.00137	948	3	448	3	100	0	51	0	
0.00138	948	3	448	3	100	0	51	0	
0.00139	948	2	448	2	100	0	50	0	
0.0014	948	2	448	2	100	0	50	0	
0.00141	948	2	448	2	100	0	50	0	
0.00142	948	2	448	2	100	0	50	0	
0.00143	948	2	448	2	100	0	50	0	
0.00144	948	3	448	3	100	0	51	0	
0.00145	948	2	448	2	100	0	50	0	
0.00146	948	3	448	3	100	0	51	0	
0.00147	948	1	448	1	100	0	49	0	
0.00148	946	2	446	2	100	0	48	0	
0.00149	946	2	446	2	100	0	48	0	
0.0015	945	1	445	1	100	0	46	0	
0.00151	944	2	444	2	100	0	46	0	
0.00152	944	3	444	3	100	0	47	0	
0.00153	944	2	444	2	100	0	46	0	
0.00154	944	2	444	2	100	0	46	0	
0.00155	944	1	444	1	100	0	45	0	
0.00156	944	2	444	2	100	0	46	0	
0.00157	944	1	444	1	100	0	45	0	
0.00158	943	3	443	3	100	0	46	0	
0.00159	943	3	443	3	100	0	46	0	
0.0016	942	4	442	4	100	0	46	0	
0.00161	942	3	442	3	100	0	45	0	
0.00162	942	3	442	3	100	0	45	0	
0.00163	942	3	442	3	100	0	45	0	
0.00164	942	3	442	3	100	0	45	0	
0.00165	942	2	442	2	100	0	44	0	
0.00166	942	2	442	2	100	0	44	0	
0.00167	942	3	442	3	100	0	45	0	
0.00168	942	4	442	4	100	0	46	0	
0.00169	941	6	441	6	100	0	47	0	
0.0017	940	8	440	8	100	0	48	0	
0.00171	939	9	439	9	100	0	48	0	
