TIME(s)	'pip2,ap2'	'ap2,trans'	'ap2,aak1'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0	0	0
1e-05	0	0	0	0	0	0	0	0	0	0	0
2e-05	0	0	0	0	0	0	0	0	0	0	0
3e-05	0	0	0	0	0	0	0	0	0	0	0
4e-05	0	0	0	0	0	0	0	0	0	0	0
5e-05	0	0	0	0	0	0	0	0	0	0	0
6e-05	1	0	0	0	0	0	0	0	0	0	1
7e-05	1	0	0	0	0	0	0	0	0	0	1
8e-05	1	0	1	0	0	0	0	0	0	0	2
9e-05	1	0	1	0	0	0	0	0	0	0	2
0.0001	2	0	1	0	0	0	0	0	0	0	3
0.00011	2	0	1	0	0	0	0	0	0	0	3
0.00012	2	0	1	0	0	0	0	0	0	0	3
0.00013	2	0	1	0	0	0	0	0	0	0	3
0.00014	2	0	2	0	0	0	0	0	0	0	4
0.00015	3	0	2	0	0	0	0	0	0	0	5
0.00016	4	0	3	0	0	0	0	0	0	0	7
0.00017	4	0	3	0	0	0	0	0	0	0	7
0.00018	5	0	3	0	0	0	0	0	0	0	8
0.00019	5	0	3	0	0	0	0	0	0	0	8
0.0002	7	0	4	0	0	0	0	0	0	0	11
0.00021	7	0	5	0	0	0	0	0	0	0	12
0.00022	8	0	6	0	0	0	0	0	0	0	14
0.00023	10	0	7	0	0	0	0	0	0	0	17
0.00024	10	0	8	0	0	0	0	0	0	0	18
0.00025	11	0	10	0	0	0	0	0	0	0	22
0.00026	12	0	10	0	0	0	0	0	0	0	23
0.00027	13	0	10	0	0	0	0	0	0	0	24
0.00028	13	0	10	0	0	0	0	0	0	0	25
0.00029	14	0	9	0	0	0	0	0	0	0	26
0.0003	14	0	10	0	0	0	0	0	0	0	28
0.00031	13	0	10	0	0	0	0	0	0	0	29
0.00032	13	0	10	0	0	0	0	0	0	0	29
0.00033	13	0	11	0	0	0	0	0	0	0	30
0.00034	14	0	11	0	0	0	0	0	0	0	31
0.00035	15	0	12	0	0	0	0	0	0	0	33
0.00036	15	0	12	0	0	0	0	0	0	0	34
0.00037	15	0	13	0	0	0	0	0	0	0	36
0.00038	17	0	14	0	0	0	0	0	0	0	39
0.00039	17	0	15	0	0	0	0	0	0	0	40
0.0004	17	0	15	0	0	0	0	0	0	0	40
0.00041	17	0	15	0	0	0	0	0	0	0	40
0.00042	17	0	15	0	0	0	0	0	0	0	40
0.00043	17	0	15	0	0	0	0	0	0	0	40
0.00044	19	0	15	0	0	0	0	0	0	0	42
0.00045	20	0	18	0	0	0	0	0	0	0	46
0.00046	21	0	19	0	0	0	0	0	0	0	48
0.00047	21	0	20	0	0	0	0	0	0	0	49
0.00048	21	0	21	0	0	0	0	0	0	0	51
0.00049	22	0	21	0	0	0	0	0	0	0	53
0.0005	23	0	22	0	0	0	0	0	0	0	55
0.00051	23	0	24	0	0	0	0	0	0	0	57
0.00052	23	0	24	0	0	0	0	0	0	0	57
