Time (s),pip2(ap2),ap2(a~U),ap2(a~P),ap2(b),trans(ap2),aak1(ap2),ap2(b!1).pip2(ap2!1),ap2(a~P!1).trans(ap2!1),aak1(ap2!1).ap2(a~U!1),aak1(ap2!1).ap2(a~P!1)
0,1000,500,0,500,100,100,0,0,0,0
1e-05,1000,500,0,500,100,100,0,0,0,0
2e-05,1000,500,0,500,100,100,0,0,0,0
3e-05,1000,500,0,500,100,100,0,0,0,0
4e-05,1000,500,0,500,100,100,0,0,0,0
5e-05,1000,500,0,500,100,100,0,0,0,0
6e-05,999,500,0,499,100,100,1,0,0,0
7e-05,999,500,0,499,100,100,1,0,0,0
8e-05,999,499,0,499,100,99,1,0,1,0
9e-05,999,499,0,499,100,99,1,0,1,0
0.0001,998,499,0,498,100,99,2,0,1,0
0.00011,998,499,0,498,100,99,2,0,1,0
0.00012,998,499,0,498,100,99,2,0,1,0
0.00013,998,499,0,498,100,99,2,0,1,0
0.00014,998,498,0,498,100,98,2,0,2,0
0.00015,997,498,0,497,100,98,3,0,2,0
0.00016,996,497,0,496,100,97,4,0,3,0
0.00017,996,497,0,496,100,97,4,0,3,0
0.00018,995,497,0,495,100,97,5,0,3,0
0.00019,995,497,0,495,100,97,5,0,3,0
0.0002,993,496,0,493,100,96,7,0,4,0
0.00021,993,495,0,493,100,95,7,0,5,0
0.00022,992,494,0,492,100,94,8,0,6,0
0.00023,990,493,0,490,100,93,10,0,7,0
0.00024,990,492,0,490,100,92,10,0,8,0
0.00025,989,490,0,489,100,90,11,0,10,0
0.00026,988,490,0,488,100,90,12,0,10,0
0.00027,987,490,0,487,100,90,13,0,10,0
0.00028,987,490,0,487,100,90,13,0,10,0
0.00029,986,491,0,486,100,91,14,0,9,0
0.0003,986,490,0,486,100,90,14,0,10,0
0.00031,987,490,0,487,100,90,13,0,10,0
0.00032,987,490,0,487,100,90,13,0,10,0
0.00033,987,489,0,487,100,89,13,0,11,0
0.00034,986,489,0,486,100,89,14,0,11,0
0.00035,985,488,0,485,100,88,15,0,12,0
0.00036,985,488,0,485,100,88,15,0,12,0
0.00037,985,487,0,485,100,87,15,0,13,0
0.00038,983,486,0,483,100,86,17,0,14,0
0.00039,983,485,0,483,100,85,17,0,15,0
0.0004,983,485,0,483,100,85,17,0,15,0
0.00041,983,485,0,483,100,85,17,0,15,0
0.00042,983,485,0,483,100,85,17,0,15,0
0.00043,983,485,0,483,100,85,17,0,15,0
0.00044,981,485,0,481,100,85,19,0,15,0
0.00045,980,482,0,480,100,82,20,0,18,0
0.00046,979,481,0,479,100,81,21,0,19,0
0.00047,979,480,0,479,100,80,21,0,20,0
0.00048,979,479,0,479,100,79,21,0,21,0
0.00049,978,479,0,478,100,79,22,0,21,0
0.0005,977,478,0,477,100,78,23,0,22,0
0.00051,977,476,0,477,100,76,23,0,24,0
