TIME(s)	'pip2,ap2'	'ap2,trans'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0	0
1e-05	0	0	0	0	0	0	0	0	0	0
2e-05	2	0	0	0	0	0	0	0	0	2
3e-05	2	1	0	0	0	0	0	0	0	3
4e-05	2	1	0	0	0	0	0	0	0	3
5e-05	2	1	0	0	0	0	0	0	0	3
6e-05	4	1	0	0	0	0	0	0	0	5
7e-05	5	1	0	0	0	0	0	0	0	6
8e-05	5	1	0	0	0	0	0	0	0	6
9e-05	6	1	0	0	0	0	0	0	0	7
0.0001	7	1	0	0	0	0	0	0	0	8
0.00011	7	1	0	0	0	0	0	0	0	8
0.00012	8	1	0	0	0	0	0	0	0	9
0.00013	11	1	0	0	0	0	0	0	0	12
0.00014	12	1	0	0	0	0	0	0	0	13
0.00015	12	1	0	0	0	0	0	0	0	13
0.00016	12	1	0	0	0	0	0	0	0	13
0.00017	12	2	0	0	0	0	0	0	0	14
0.00018	14	2	0	0	0	0	0	0	0	16
0.00019	14	2	0	0	0	0	0	0	0	16
0.0002	14	2	0	0	0	0	0	0	0	16
0.00021	15	2	0	0	0	0	0	0	0	17
0.00022	15	2	0	0	0	0	0	0	0	17
0.00023	16	3	0	0	0	0	0	0	0	19
0.00024	16	3	0	0	0	0	0	0	0	19
0.00025	16	4	0	0	0	0	0	0	0	20
0.00026	18	4	0	0	0	0	0	0	0	22
0.00027	19	4	0	0	0	0	0	0	0	23
0.00028	19	4	0	0	0	0	0	0	0	23
0.00029	19	4	0	0	0	0	0	0	0	23
0.0003	19	4	0	0	0	0	0	0	0	23
0.00031	19	4	0	0	0	0	0	0	0	23
0.00032	20	4	0	0	0	0	0	0	0	24
0.00033	20	4	0	0	0	0	0	0	0	24
0.00034	21	4	0	0	0	0	0	0	0	25
0.00035	21	4	0	0	0	0	0	0	0	25
0.00036	21	4	0	0	0	0	0	0	0	25
0.00037	20	4	0	0	0	0	0	0	0	25
0.00038	20	4	0	0	0	0	0	0	0	25
0.00039	20	4	0	0	0	0	0	0	0	25
0.0004	20	4	0	0	0	0	0	0	0	25
0.00041	21	4	0	0	0	0	0	0	0	26
0.00042	21	4	0	0	0	0	0	0	0	26
0.00043	21	4	0	0	0	0	0	0	0	26
0.00044	21	4	0	0	0	0	0	0	0	26
0.00045	22	4	0	0	0	0	0	0	0	27
0.00046	22	4	0	0	0	0	0	0	0	27
0.00047	22	5	0	0	0	0	0	0	0	28
0.00048	22	5	0	0	0	0	0	0	0	28
0.00049	23	5	0	0	0	0	0	0	0	29
0.0005	23	5	0	0	0	0	0	0	0	29
0.00051	23	5	0	0	0	0	0	0	0	29
0.00052	24	5	0	0	0	0	0	0	0	30
0.00053	24	5	0	0	0	0	0	0	0	30
0.00054	25	5	0	0	0	0	0	0	0	31
0.00055	25	6	0	0	0	0	0	0	0	32
0.00056	25	6	0	0	0	0	0	0	0	32
0.00057	25	6	0	0	0	0	0	0	0	32
0.00058	25	6	0	0	0	0	0	0	0	32
0.00059	26	7	0	0	0	0	0	0	0	34
0.0006	27	7	0	0	0	0	0	0	0	35
0.00061	28	7	0	0	0	0	0	0	0	36
0.00062	29	7	0	0	0	0	0	0	0	37
0.00063	29	7	0	0	0	0	0	0	0	37
0.00064	29	7	0	0	0	0	0	0	0	37
0.00065	29	7	0	0	0	0	0	0	0	37
0.00066	29	7	0	0	0	0	0	0	0	37
0.00067	30	8	0	0	0	0	0	0	0	39
0.00068	30	8	0	0	0	0	0	0	0	39
0.00069	30	8	0	0	0	0	0	0	0	39
0.0007	31	9	0	0	0	0	0	0	0	41
0.00071	32	9	0	0	0	0	0	0	0	42
0.00072	32	9	0	0	0	0	0	0	0	42
0.00073	32	9	0	0	0	0	0	0	0	42
0.00074	33	9	0	0	0	0	0	0	0	43
0.00075	33	10	0	0	0	0	0	0	0	44
0.00076	33	10	0	0	0	0	0	0	0	44
0.00077	35	10	0	0	0	0	0	0	0	46
0.00078	35	10	0	0	0	0	0	0	0	46
0.00079	37	10	0	0	0	0	0	0	0	48
0.0008	40	10	0	0	0	0	0	0	0	51
0.00081	40	10	0	0	0	0	0	0	0	51
0.00082	42	10	0	0	0	0	0	0	0	53
0.00083	42	11	0	0	0	0	0	0	0	54
0.00084	42	11	0	0	0	0	0	0	0	54
0.00085	42	11	0	0	0	0	0	0	0	54
0.00086	42	11	0	0	0	0	0	0	0	54
0.00087	43	11	0	0	0	0	0	0	0	55
0.00088	43	11	0	0	0	0	0	0	0	55
0.00089	43	11	0	0	0	0	0	0	0	55
0.0009	43	11	0	0	0	0	0	0	0	55
0.00091	43	11	0	0	0	0	0	0	0	55
0.00092	44	11	0	0	0	0	0	0	0	56
0.00093	45	12	0	0	0	0	0	0	0	58
0.00094	46	12	0	0	0	0	0	0	0	59
0.00095	48	12	0	0	0	0	0	0	0	61
0.00096	48	12	0	0	0	0	0	0	0	61
0.00097	48	12	0	0	0	0	0	0	0	61
0.00098	48	12	0	0	0	0	0	0	0	61
0.00099	48	12	0	0	0	0	0	0	0	61
0.001	49	12	0	0	0	0	0	0	0	62
0.00101	49	12	0	0	0	0	0	0	0	62
0.00102	49	12	0	0	0	0	0	0	0	62
0.00103	51	12	0	0	0	0	0	0	0	64
0.00104	51	12	0	0	0	0	0	0	0	64
0.00105	51	12	0	0	0	0	0	0	0	64
0.00106	52	12	0	0	0	0	0	0	0	65
0.00107	52	12	0	0	0	0	0	0	0	65
0.00108	52	12	0	0	0	0	0	0	0	65
0.00109	52	13	0	0	0	0	0	0	0	66
0.0011	52	14	0	0	0	0	0	0	0	67
0.00111	52	15	0	0	0	0	0	0	0	68
0.00112	52	15	0	0	0	0	0	0	0	68
0.00113	53	16	0	0	0	0	0	0	0	70
0.00114	53	17	0	0	0	0	0	0	0	71
0.00115	53	17	0	0	0	0	0	0	0	71
0.00116	53	17	0	0	0	0	0	0	0	71
0.00117	53	17	0	0	0	0	0	0	0	71
0.00118	54	17	0	0	0	0	0	0	0	72
0.00119	54	18	0	0	0	0	0	0	0	73
0.0012	54	18	0	0	0	0	0	0	0	73
0.00121	54	18	0	0	0	0	0	0	0	73
0.00122	54	18	0	0	0	0	0	0	0	73
0.00123	55	18	0	0	0	0	0	0	0	74
0.00124	55	18	0	0	0	0	0	0	0	74
0.00125	56	18	0	0	0	0	0	0	0	75
0.00126	56	18	0	0	0	0	0	0	0	75
0.00127	56	18	0	0	0	0	0	0	0	75
