TIME (s) 	MONO:pip2	DIMERS W:pip2	MONO:ap2	DIMERS W:ap2	MONO:trans	DIMERS W:trans	
0	1000	0	500	0	100	0	
1e-05	1000	0	500	0	100	0	
2e-05	998	2	498	2	100	0	
3e-05	998	1	498	1	99	0	
4e-05	998	1	498	1	99	0	
5e-05	998	1	498	1	99	0	
6e-05	996	3	496	3	99	0	
7e-05	995	4	495	4	99	0	
8e-05	995	4	495	4	99	0	
9e-05	994	5	494	5	99	0	
0.0001	993	6	493	6	99	0	
0.00011	993	6	493	6	99	0	
0.00012	992	7	492	7	99	0	
0.00013	989	10	489	10	99	0	
0.00014	988	11	488	11	99	0	
0.00015	988	11	488	11	99	0	
0.00016	988	11	488	11	99	0	
0.00017	988	10	488	10	98	0	
0.00018	986	12	486	12	98	0	
0.00019	986	12	486	12	98	0	
0.0002	986	12	486	12	98	0	
0.00021	985	13	485	13	98	0	
0.00022	985	13	485	13	98	0	
0.00023	984	13	484	13	97	0	
0.00024	984	13	484	13	97	0	
0.00025	984	12	484	12	96	0	
0.00026	982	14	482	14	96	0	
0.00027	981	15	481	15	96	0	
0.00028	981	15	481	15	96	0	
0.00029	981	15	481	15	96	0	
0.0003	981	15	481	15	96	0	
0.00031	981	15	481	15	96	0	
0.00032	980	16	480	16	96	0	
0.00033	980	16	480	16	96	0	
0.00034	979	17	479	17	96	0	
0.00035	979	17	479	17	96	0	
0.00036	979	17	479	17	96	0	
0.00037	980	16	480	16	96	0	
0.00038	980	16	480	16	96	0	
0.00039	980	16	480	16	96	0	
0.0004	980	16	480	16	96	0	
0.00041	979	17	479	17	96	0	
0.00042	979	17	479	17	96	0	
0.00043	979	17	479	17	96	0	
0.00044	979	17	479	17	96	0	
0.00045	978	18	478	18	96	0	
0.00046	978	18	478	18	96	0	
0.00047	978	17	478	17	95	0	
0.00048	978	17	478	17	95	0	
0.00049	977	18	477	18	95	0	
0.0005	977	18	477	18	95	0	
0.00051	977	18	477	18	95	0	
0.00052	976	19	476	19	95	0	
0.00053	976	19	476	19	95	0	
0.00054	975	20	475	20	95	0	
0.00055	975	19	475	19	94	0	
0.00056	975	19	475	19	94	0	
0.00057	975	19	475	19	94	0	
0.00058	975	19	475	19	94	0	
0.00059	974	19	474	19	93	0	
0.0006	973	20	473	20	93	0	
0.00061	972	21	472	21	93	0	
