TIME(s)	'pip2,ap2'	'ap2,trans'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0	0
1e-05	0	0	0	0	0	0	0	0	0	0
2e-05	0	0	0	0	0	0	0	0	0	0
3e-05	0	0	0	0	0	0	0	0	0	0
4e-05	0	0	0	0	0	0	0	0	0	0
5e-05	0	0	0	0	0	0	0	0	0	0
6e-05	0	0	0	0	0	0	0	0	0	0
7e-05	0	0	0	0	0	0	0	0	0	0
8e-05	0	0	0	0	0	0	0	0	0	0
9e-05	0	0	0	0	0	0	0	0	0	0
0.0001	0	0	0	0	0	0	0	0	0	0
0.00011	0	0	0	0	0	0	0	0	0	0
0.00012	0	0	0	0	0	0	0	0	0	0
0.00013	0	0	0	0	0	0	0	0	0	0
0.00014	0	0	0	0	0	0	0	0	0	0
0.00015	0	0	0	0	0	0	0	0	0	0
0.00016	0	0	0	0	0	0	0	0	0	0
0.00017	0	0	0	0	0	0	0	0	0	0
0.00018	1	0	0	0	0	0	0	0	0	1
0.00019	1	0	0	0	0	0	0	0	0	1
0.0002	2	0	0	0	0	0	0	0	0	2
0.00021	2	0	0	0	0	0	0	0	0	2
0.00022	3	0	0	0	0	0	0	0	0	3
0.00023	3	0	0	0	0	0	0	0	0	3
0.00024	3	0	0	0	0	0	0	0	0	3
0.00025	3	0	0	0	0	0	0	0	0	3
0.00026	3	0	0	0	0	0	0	0	0	3
0.00027	3	0	0	0	0	0	0	0	0	3
0.00028	3	0	0	0	0	0	0	0	0	3
0.00029	3	0	0	0	0	0	0	0	0	3
0.0003	3	0	0	0	0	0	0	0	0	3
0.00031	3	0	0	0	0	0	0	0	0	3
0.00032	4	0	0	0	0	0	0	0	0	4
0.00033	5	0	0	0	0	0	0	0	0	5
0.00034	5	0	0	0	0	0	0	0	0	5
0.00035	5	0	0	0	0	0	0	0	0	5
0.00036	5	0	0	0	0	0	0	0	0	5
0.00037	6	0	0	0	0	0	0	0	0	6
0.00038	6	0	0	0	0	0	0	0	0	6
0.00039	6	0	0	0	0	0	0	0	0	6
0.0004	6	0	0	0	0	0	0	0	0	6
0.00041	7	0	0	0	0	0	0	0	0	7
0.00042	7	0	0	0	0	0	0	0	0	7
0.00043	7	0	0	0	0	0	0	0	0	7
0.00044	7	0	0	0	0	0	0	0	0	7
0.00045	7	0	0	0	0	0	0	0	0	7
0.00046	7	0	0	0	0	0	0	0	0	7
0.00047	7	0	0	0	0	0	0	0	0	7
0.00048	7	0	0	0	0	0	0	0	0	7
0.00049	7	0	0	0	0	0	0	0	0	7
0.0005	7	0	0	0	0	0	0	0	0	7
0.00051	7	0	0	0	0	0	0	0	0	7
0.00052	7	0	0	0	0	0	0	0	0	7
0.00053	8	0	0	0	0	0	0	0	0	8
0.00054	8	0	0	0	0	0	0	0	0	8
0.00055	8	0	0	0	0	0	0	0	0	8
0.00056	9	0	0	0	0	0	0	0	0	9
0.00057	9	0	0	0	0	0	0	0	0	9
0.00058	9	0	0	0	0	0	0	0	0	9
0.00059	9	0	0	0	0	0	0	0	0	9
0.0006	9	1	0	0	0	0	0	0	0	10
0.00061	9	1	0	0	0	0	0	0	0	10
0.00062	9	1	0	0	0	0	0	0	0	10
0.00063	9	1	0	0	0	0	0	0	0	10
0.00064	9	1	0	0	0	0	0	0	0	10
0.00065	9	1	0	0	0	0	0	0	0	10
0.00066	9	1	0	0	0	0	0	0	0	10
0.00067	9	1	0	0	0	0	0	0	0	10
0.00068	9	1	0	0	0	0	0	0	0	10
0.00069	9	1	0	0	0	0	0	0	0	10
0.0007	9	1	0	0	0	0	0	0	0	10
0.00071	9	1	0	0	0	0	0	0	0	10
0.00072	9	1	0	0	0	0	0	0	0	10
0.00073	9	1	0	0	0	0	0	0	0	10
0.00074	9	2	0	0	0	0	0	0	0	11
0.00075	9	2	0	0	0	0	0	0	0	11
0.00076	9	2	0	0	0	0	0	0	0	11
0.00077	9	2	0	0	0	0	0	0	0	11
0.00078	9	2	0	0	0	0	0	0	0	11
0.00079	9	3	0	0	0	0	0	0	0	12
0.0008	9	3	0	0	0	0	0	0	0	12
0.00081	9	3	0	0	0	0	0	0	0	12
0.00082	9	3	0	0	0	0	0	0	0	12
0.00083	9	3	0	0	0	0	0	0	0	12
0.00084	9	3	0	0	0	0	0	0	0	12
0.00085	9	3	0	0	0	0	0	0	0	12
0.00086	9	3	0	0	0	0	0	0	0	12
0.00087	9	3	0	0	0	0	0	0	0	12
0.00088	9	3	0	0	0	0	0	0	0	12
0.00089	9	3	0	0	0	0	0	0	0	12
0.0009	10	3	0	0	0	0	0	0	0	13
0.00091	10	3	0	0	0	0	0	0	0	13
0.00092	10	3	0	0	0	0	0	0	0	13
0.00093	10	3	0	0	0	0	0	0	0	13
0.00094	10	3	0	0	0	0	0	0	0	13
0.00095	10	3	0	0	0	0	0	0	0	13
0.00096	11	4	0	0	0	0	0	0	0	15
0.00097	11	4	0	0	0	0	0	0	0	15
0.00098	12	4	0	0	0	0	0	0	0	16
0.00099	12	4	0	0	0	0	0	0	0	16
0.001	12	4	0	0	0	0	0	0	0	16
0.00101	12	4	0	0	0	0	0	0	0	16
0.00102	13	4	0	0	0	0	0	0	0	17
0.00103	13	4	0	0	0	0	0	0	0	17
0.00104	13	4	0	0	0	0	0	0	0	17
0.00105	13	4	0	0	0	0	0	0	0	17
0.00106	14	4	0	0	0	0	0	0	0	18
0.00107	14	4	0	0	0	0	0	0	0	18
0.00108	15	4	0	0	0	0	0	0	0	19
0.00109	15	4	0	0	0	0	0	0	0	19
0.0011	15	4	0	0	0	0	0	0	0	19
0.00111	15	4	0	0	0	0	0	0	0	19
0.00112	15	4	0	0	0	0	0	0	0	19
0.00113	15	4	0	0	0	0	0	0	0	19
0.00114	15	4	0	0	0	0	0	0	0	19
0.00115	15	4	0	0	0	0	0	0	0	19
0.00116	15	4	0	0	0	0	0	0	0	19
0.00117	15	4	0	0	0	0	0	0	0	19
0.00118	15	4	0	0	0	0	0	0	0	19
0.00119	15	4	0	0	0	0	0	0	0	19
0.0012	15	4	0	0	0	0	0	0	0	19
0.00121	15	4	0	0	0	0	0	0	0	19
0.00122	15	4	0	0	0	0	0	0	0	19
0.00123	15	4	0	0	0	0	0	0	0	19
0.00124	15	4	0	0	0	0	0	0	0	19
0.00125	16	4	0	0	0	0	0	0	0	20
0.00126	16	4	0	0	0	0	0	0	0	20
0.00127	16	4	0	0	0	0	0	0	0	20
