TIME (s) 	MONO:pip2	DIMERS W:pip2	MONO:ap2	DIMERS W:ap2	MONO:trans	DIMERS W:trans	
0	300	0	500	0	100	0	
1e-05	300	0	500	0	100	0	
2e-05	300	0	500	0	100	0	
3e-05	300	0	500	0	100	0	
4e-05	300	0	500	0	100	0	
5e-05	300	0	500	0	100	0	
6e-05	300	0	500	0	100	0	
7e-05	300	0	500	0	100	0	
8e-05	300	0	500	0	100	0	
9e-05	300	0	500	0	100	0	
0.0001	300	0	500	0	100	0	
0.00011	300	0	500	0	100	0	
0.00012	300	0	500	0	100	0	
0.00013	300	0	500	0	100	0	
0.00014	300	0	500	0	100	0	
0.00015	300	0	500	0	100	0	
0.00016	300	0	500	0	100	0	
0.00017	300	0	500	0	100	0	
0.00018	299	1	499	1	100	0	
0.00019	299	1	499	1	100	0	
0.0002	298	2	498	2	100	0	
0.00021	298	2	498	2	100	0	
0.00022	297	3	497	3	100	0	
0.00023	297	3	497	3	100	0	
0.00024	297	3	497	3	100	0	
0.00025	297	3	497	3	100	0	
0.00026	297	3	497	3	100	0	
0.00027	297	3	497	3	100	0	
0.00028	297	3	497	3	100	0	
0.00029	297	3	497	3	100	0	
0.0003	297	3	497	3	100	0	
0.00031	297	3	497	3	100	0	
0.00032	296	4	496	4	100	0	
0.00033	295	5	495	5	100	0	
0.00034	295	5	495	5	100	0	
0.00035	295	5	495	5	100	0	
0.00036	295	5	495	5	100	0	
0.00037	294	6	494	6	100	0	
0.00038	294	6	494	6	100	0	
0.00039	294	6	494	6	100	0	
0.0004	294	6	494	6	100	0	
0.00041	293	7	493	7	100	0	
0.00042	293	7	493	7	100	0	
0.00043	293	7	493	7	100	0	
0.00044	293	7	493	7	100	0	
0.00045	293	7	493	7	100	0	
0.00046	293	7	493	7	100	0	
0.00047	293	7	493	7	100	0	
0.00048	293	7	493	7	100	0	
0.00049	293	7	493	7	100	0	
0.0005	293	7	493	7	100	0	
0.00051	293	7	493	7	100	0	
