Time (s),pip2(ap2),ap2(a~U),ap2(a~P),ap2(b),trans(ap2),aak1(ap2),ap2(b!1).pip2(ap2!1),ap2(a~P!1).trans(ap2!1)
0,1000,500,0,500,100,100,0,0
1e-05,1000,500,0,500,100,100,0,0
2e-05,1000,500,0,500,100,100,0,0
3e-05,1000,500,0,500,100,100,0,0
4e-05,1000,500,0,500,100,100,0,0
5e-05,1000,500,0,500,100,100,0,0
6e-05,1000,500,0,500,100,100,0,0
7e-05,1000,500,0,500,100,100,0,0
8e-05,1000,500,0,500,100,100,0,0
9e-05,1000,500,0,500,100,100,0,0
0.0001,998,501,0,499,100,100,1,0
0.00011,998,501,0,499,100,100,1,0
0.00012,996,501,0,497,100,100,3,0
0.00013,996,501,0,497,100,100,3,0
0.00014,996,501,0,497,100,100,3,0
0.00015,996,501,0,497,100,100,3,0
0.00016,995,501,0,496,100,100,4,0
0.00017,991,502,0,493,100,100,7,0
0.00018,990,502,0,492,100,100,8,0
0.00019,989,503,0,492,100,100,8,0
0.0002,988,504,0,492,100,100,8,0
0.00021,987,505,0,492,100,100,8,0
0.00022,987,505,0,492,100,100,8,0
0.00023,986,506,0,492,100,100,8,0
0.00024,985,506,0,491,100,100,9,0
0.00025,984,506,0,490,100,100,10,0
0.00026,982,507,0,489,100,100,11,0
0.00027,979,509,0,488,100,100,12,0
0.00028,976,511,0,487,100,100,13,0
0.00029,975,511,0,486,100,100,14,0
0.0003,973,512,0,485,100,100,15,0
0.00031,972,513,0,485,100,100,15,0
0.00032,969,515,-1,484,99,100,16,1
0.00033,969,515,-1,484,99,100,16,1
0.00034,968,516,-1,484,99,100,16,1
0.00035,966,517,-1,483,99,100,17,1
0.00036,966,517,-1,483,99,100,17,1
0.00037,966,517,-1,483,99,100,17,1
0.00038,966,517,-1,483,99,100,17,1
0.00039,965,517,-2,482,98,100,18,2
0.0004,965,517,-2,482,98,100,18,2
0.00041,964,517,-2,481,98,100,19,2
0.00042,963,517,-2,480,98,100,20,2
0.00043,962,518,-2,480,98,100,20,2
0.00044,961,518,-2,479,98,100,21,2
0.00045,960,519,-2,479,98,100,21,2
0.00046,960,519,-2,479,98,100,21,2
0.00047,959,519,-2,478,98,100,22,2
0.00048,958,520,-2,478,98,100,22,2
0.00049,958,520,-2,478,98,100,22,2
0.0005,958,520,-2,478,98,100,22,2
0.00051,957,520,-2,477,98,100,23,2
0.00052,957,520,-2,477,98,100,23,2
0.00053,955,521,-2,476,98,100,24,2
0.00054,955,521,-2,476,98,100,24,2
0.00055,955,521,-2,476,98,100,24,2
0.00056,954,521,-2,475,98,100,25,2
0.00057,953,521,-3,474,97,100,26,3
0.00058,952,522,-4,474,96,100,26,4
0.00059,951,523,-4,474,96,100,26,4
0.0006,948,523,-4,471,96,100,29,4
0.00061,948,523,-5,471,95,100,29,5
0.00062,948,523,-5,471,95,100,29,5
0.00063,946,525,-6,471,94,100,29,6
0.00064,942,528,-6,470,94,100,30,6
0.00065,942,528,-6,470,94,100,30,6
0.00066,942,528,-6,470,94,100,30,6
0.00067,941,528,-7,469,93,100,31,7
0.00068,940,529,-7,469,93,100,31,7
0.00069,938,530,-7,468,93,100,32,7
0.0007,937,530,-7,467,93,100,33,7
0.00071,935,531,-7,466,93,100,34,7
0.00072,933,532,-8,465,92,100,35,8
0.00073,933,532,-8,465,92,100,35,8
0.00074,931,533,-8,464,92,100,36,8
0.00075,929,535,-8,464,92,100,36,8
0.00076,929,535,-8,464,92,100,36,8
0.00077,929,535,-8,464,92,100,36,8
0.00078,928,535,-9,463,91,100,37,9
0.00079,926,535,-10,461,90,100,39,10
0.0008,924,536,-11,460,89,100,40,11
0.00081,922,538,-11,460,89,100,40,11
0.00082,921,539,-11,460,89,100,40,11
0.00083,921,539,-12,460,88,100,40,12
0.00084,921,539,-13,460,87,100,40,13
