time (s): 0
time (s): 1e-05
time (s): 2e-05
time (s): 3e-05
time (s): 4e-05
time (s): 5e-05
time (s): 6e-05
time (s): 7e-05
time (s): 8e-05
time (s): 9e-05
time (s): 0.0001
3Dto2D dimers: 1
time (s): 0.00011
3Dto2D dimers: 1
time (s): 0.00012
3Dto2D dimers: 3
time (s): 0.00013
3Dto2D dimers: 3
time (s): 0.00014
3Dto2D dimers: 3
time (s): 0.00015
3Dto2D dimers: 3
time (s): 0.00016
3Dto2D dimers: 4
time (s): 0.00017
3Dto2D dimers: 7
time (s): 0.00018
3Dto2D dimers: 8
time (s): 0.00019
3Dto2D dimers: 8
time (s): 0.0002
3Dto2D dimers: 8
time (s): 0.00021
3Dto2D dimers: 8
time (s): 0.00022
3Dto2D dimers: 8
time (s): 0.00023
3Dto2D dimers: 8
time (s): 0.00024
3Dto2D dimers: 9
time (s): 0.00025
3Dto2D dimers: 10
time (s): 0.00026
3Dto2D dimers: 11
time (s): 0.00027
3Dto2D dimers: 12
time (s): 0.00028
3Dto2D dimers: 13
time (s): 0.00029
3Dto2D dimers: 14
time (s): 0.0003
3Dto2D dimers: 15
time (s): 0.00031
3Dto2D dimers: 15
time (s): 0.00032
3Dto2D dimers: 16
2D n=1: 1
time (s): 0.00033
3Dto2D dimers: 16
2D n=1: 1
time (s): 0.00034
3Dto2D dimers: 16
2D n=1: 1
time (s): 0.00035
3Dto2D dimers: 17
2D n=1: 1
time (s): 0.00036
3Dto2D dimers: 17
2D n=1: 1
time (s): 0.00037
3Dto2D dimers: 17
2D n=1: 1
time (s): 0.00038
3Dto2D dimers: 17
2D n=1: 1
time (s): 0.00039
3Dto2D dimers: 18
2D n=1: 2
time (s): 0.0004
3Dto2D dimers: 18
2D n=1: 2
time (s): 0.00041
3Dto2D dimers: 19
2D n=1: 2
time (s): 0.00042
3Dto2D dimers: 20
2D n=1: 2
time (s): 0.00043
3Dto2D dimers: 20
2D n=1: 2
time (s): 0.00044
3Dto2D dimers: 21
2D n=1: 2
time (s): 0.00045
3Dto2D dimers: 21
2D n=1: 2
time (s): 0.00046
3Dto2D dimers: 21
2D n=1: 2
time (s): 0.00047
3Dto2D dimers: 22
2D n=1: 2
time (s): 0.00048
3Dto2D dimers: 22
2D n=1: 2
time (s): 0.00049
3Dto2D dimers: 22
2D n=1: 2
time (s): 0.0005
3Dto2D dimers: 22
2D n=1: 2
time (s): 0.00051
3Dto2D dimers: 23
2D n=1: 2
time (s): 0.00052
3Dto2D dimers: 23
2D n=1: 2
time (s): 0.00053
3Dto2D dimers: 24
2D n=1: 2
time (s): 0.00054
3Dto2D dimers: 24
2D n=1: 2
time (s): 0.00055
3Dto2D dimers: 24
2D n=1: 2
time (s): 0.00056
3Dto2D dimers: 25
2D n=1: 2
time (s): 0.00057
3Dto2D dimers: 26
2D n=1: 3
time (s): 0.00058
3Dto2D dimers: 26
2D n=1: 4
time (s): 0.00059
3Dto2D dimers: 26
2D n=1: 4
time (s): 0.0006
3Dto2D dimers: 29
2D n=1: 4
time (s): 0.00061
3Dto2D dimers: 29
2D n=1: 5
time (s): 0.00062
3Dto2D dimers: 29
2D n=1: 5
time (s): 0.00063
3Dto2D dimers: 29
2D n=1: 6
time (s): 0.00064
3Dto2D dimers: 30
2D n=1: 6
time (s): 0.00065
3Dto2D dimers: 30
2D n=1: 6
time (s): 0.00066
3Dto2D dimers: 30
2D n=1: 6
time (s): 0.00067
3Dto2D dimers: 31
2D n=1: 7
time (s): 0.00068
3Dto2D dimers: 31
2D n=1: 7
time (s): 0.00069
3Dto2D dimers: 32
2D n=1: 7
time (s): 0.0007
3Dto2D dimers: 33
2D n=1: 7
time (s): 0.00071
3Dto2D dimers: 34
2D n=1: 7
time (s): 0.00072
3Dto2D dimers: 35
2D n=1: 8
time (s): 0.00073
3Dto2D dimers: 35
2D n=1: 8
time (s): 0.00074
3Dto2D dimers: 36
2D n=1: 8
time (s): 0.00075
3Dto2D dimers: 36
2D n=1: 8
time (s): 0.00076
3Dto2D dimers: 36
2D n=1: 8
time (s): 0.00077
3Dto2D dimers: 36
2D n=1: 8
time (s): 0.00078
3Dto2D dimers: 37
2D n=1: 9
time (s): 0.00079
3Dto2D dimers: 39
2D n=1: 10
time (s): 0.0008
3Dto2D dimers: 40
2D n=1: 11
time (s): 0.00081
3Dto2D dimers: 40
2D n=1: 11
time (s): 0.00082
3Dto2D dimers: 40
2D n=1: 11
time (s): 0.00083
3Dto2D dimers: 40
2D n=1: 12
time (s): 0.00084
