TIME (s) 	MONO:pip2	DIMERS W:pip2	MONO:ap2	DIMERS W:ap2	MONO:trans	DIMERS W:trans	MONO:aak1	DIMERS W:aak1	
0	1000	0	500	0	100	0	100	0	
1e-05	1000	0	500	0	100	0	100	0	
2e-05	1000	0	500	0	100	0	100	0	
3e-05	1000	0	500	0	100	0	100	0	
4e-05	1000	0	500	0	100	0	100	0	
5e-05	1000	0	500	0	100	0	100	0	
6e-05	1000	0	500	0	100	0	100	0	
7e-05	1000	0	500	0	100	0	100	0	
8e-05	1000	0	500	0	100	0	100	0	
9e-05	1000	0	500	0	100	0	100	0	
0.0001	999	1	499	1	100	0	100	0	
0.00011	999	1	499	1	100	0	100	0	
0.00012	997	3	497	3	100	0	100	0	
0.00013	997	3	497	3	100	0	100	0	
0.00014	997	3	497	3	100	0	100	0	
0.00015	997	3	497	3	100	0	100	0	
0.00016	996	4	496	4	100	0	100	0	
0.00017	993	7	493	7	100	0	100	0	
0.00018	992	8	492	8	100	0	100	0	
0.00019	992	8	492	8	100	0	100	0	
0.0002	992	8	492	8	100	0	100	0	
0.00021	992	8	492	8	100	0	100	0	
0.00022	992	8	492	8	100	0	100	0	
0.00023	992	8	492	8	100	0	100	0	
0.00024	991	9	491	9	100	0	100	0	
0.00025	990	10	490	10	100	0	100	0	
0.00026	989	11	489	11	100	0	100	0	
0.00027	988	12	488	12	100	0	100	0	
0.00028	987	13	487	13	100	0	100	0	
0.00029	986	14	486	14	100	0	100	0	
0.0003	985	15	485	15	100	0	100	0	
0.00031	985	15	485	15	100	0	100	0	
0.00032	984	15	484	15	99	0	100	0	
0.00033	984	15	484	15	99	0	100	0	
0.00034	984	15	484	15	99	0	100	0	
0.00035	983	16	483	16	99	0	100	0	
0.00036	983	16	483	16	99	0	100	0	
0.00037	983	16	483	16	99	0	100	0	
0.00038	983	16	483	16	99	0	100	0	
0.00039	982	16	482	16	98	0	100	0	
0.0004	982	16	482	16	98	0	100	0	
0.00041	981	17	481	17	98	0	100	0	
0.00042	980	18	480	18	98	0	100	0	
0.00043	980	18	480	18	98	0	100	0	
0.00044	979	19	479	19	98	0	100	0	
0.00045	979	19	479	19	98	0	100	0	
0.00046	979	19	479	19	98	0	100	0	
0.00047	978	20	478	20	98	0	100	0	
0.00048	978	20	478	20	98	0	100	0	
0.00049	978	20	478	20	98	0	100	0	
0.0005	978	20	478	20	98	0	100	0	
0.00051	977	21	477	21	98	0	100	0	
0.00052	977	21	477	21	98	0	100	0	
0.00053	976	22	476	22	98	0	100	0	
0.00054	976	22	476	22	98	0	100	0	
0.00055	976	22	476	22	98	0	100	0	
0.00056	975	23	475	23	98	0	100	0	
0.00057	974	23	474	23	97	0	100	0	
0.00058	974	22	474	22	96	0	100	0	
0.00059	974	22	474	22	96	0	100	0	
0.0006	971	25	471	25	96	0	100	0	
0.00061	971	24	471	24	95	0	100	0	
0.00062	971	24	471	24	95	0	100	0	
0.00063	971	23	471	23	94	0	100	0	
0.00064	970	24	470	24	94	0	100	0	
0.00065	970	24	470	24	94	0	100	0	
0.00066	970	24	470	24	94	0	100	0	
0.00067	969	24	469	24	93	0	100	0	
0.00068	969	24	469	24	93	0	100	0	
0.00069	968	25	468	25	93	0	100	0	
0.0007	967	26	467	26	93	0	100	0	
0.00071	966	27	466	27	93	0	100	0	
0.00072	965	27	465	27	92	0	100	0	
0.00073	965	27	465	27	92	0	100	0	
0.00074	964	28	464	28	92	0	100	0	
0.00075	964	28	464	28	92	0	100	0	
0.00076	964	28	464	28	92	0	100	0	
0.00077	964	28	464	28	92	0	100	0	
0.00078	963	28	463	28	91	0	100	0	
0.00079	961	29	461	29	90	0	100	0	
0.0008	960	29	460	29	89	0	100	0	
0.00081	960	29	460	29	89	0	100	0	
0.00082	960	29	460	29	89	0	100	0	
0.00083	960	28	460	28	88	0	100	0	
0.00084	960	27	460	27	87	0	100	0	
