TIME(s)	'pip2,ap2'	'ap2,trans'	'ap2,aak1'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0	0	0
1e-05	0	0	0	0	0	0	0	0	0	0	0
2e-05	0	0	0	0	0	0	0	0	0	0	0
3e-05	0	0	0	0	0	0	0	0	0	0	0
4e-05	0	0	0	0	0	0	0	0	0	0	0
5e-05	0	0	0	0	0	0	0	0	0	0	0
6e-05	0	0	0	0	0	0	0	0	0	0	0
7e-05	0	0	0	0	0	0	0	0	0	0	0
8e-05	0	0	0	0	0	0	0	0	0	0	0
9e-05	0	0	0	0	0	0	0	0	0	0	0
0.0001	1	0	0	0	0	0	0	0	0	0	1
0.00011	1	0	0	0	0	0	0	0	0	0	1
0.00012	3	0	0	0	0	0	0	0	0	0	3
0.00013	3	0	0	0	0	0	0	0	0	0	3
0.00014	3	0	0	0	0	0	0	0	0	0	3
0.00015	3	0	0	0	0	0	0	0	0	0	3
0.00016	4	0	0	0	0	0	0	0	0	0	4
0.00017	7	0	0	0	0	0	0	0	0	0	7
0.00018	8	0	0	0	0	0	0	0	0	0	8
0.00019	8	0	0	0	0	0	0	0	0	0	8
0.0002	8	0	0	0	0	0	0	0	0	0	8
0.00021	8	0	0	0	0	0	0	0	0	0	8
0.00022	8	0	0	0	0	0	0	0	0	0	8
0.00023	8	0	0	0	0	0	0	0	0	0	8
0.00024	9	0	0	0	0	0	0	0	0	0	9
0.00025	10	0	0	0	0	0	0	0	0	0	10
0.00026	11	0	0	0	0	0	0	0	0	0	11
0.00027	12	0	0	0	0	0	0	0	0	0	12
0.00028	13	0	0	0	0	0	0	0	0	0	13
0.00029	14	0	0	0	0	0	0	0	0	0	14
0.0003	15	0	0	0	0	0	0	0	0	0	15
0.00031	15	0	0	0	0	0	0	0	0	0	15
0.00032	16	1	0	0	0	0	0	0	0	0	17
0.00033	16	1	0	0	0	0	0	0	0	0	17
0.00034	16	1	0	0	0	0	0	0	0	0	17
0.00035	17	1	0	0	0	0	0	0	0	0	18
0.00036	17	1	0	0	0	0	0	0	0	0	18
0.00037	17	1	0	0	0	0	0	0	0	0	18
0.00038	17	1	0	0	0	0	0	0	0	0	18
0.00039	18	2	0	0	0	0	0	0	0	0	20
0.0004	18	2	0	0	0	0	0	0	0	0	20
0.00041	19	2	0	0	0	0	0	0	0	0	21
0.00042	20	2	0	0	0	0	0	0	0	0	22
0.00043	20	2	0	0	0	0	0	0	0	0	22
0.00044	21	2	0	0	0	0	0	0	0	0	23
0.00045	21	2	0	0	0	0	0	0	0	0	23
0.00046	21	2	0	0	0	0	0	0	0	0	23
0.00047	22	2	0	0	0	0	0	0	0	0	24
0.00048	22	2	0	0	0	0	0	0	0	0	24
0.00049	22	2	0	0	0	0	0	0	0	0	24
0.0005	22	2	0	0	0	0	0	0	0	0	24
0.00051	23	2	0	0	0	0	0	0	0	0	25
0.00052	23	2	0	0	0	0	0	0	0	0	25
0.00053	24	2	0	0	0	0	0	0	0	0	26
0.00054	24	2	0	0	0	0	0	0	0	0	26
0.00055	24	2	0	0	0	0	0	0	0	0	26
0.00056	25	2	0	0	0	0	0	0	0	0	27
0.00057	26	3	0	0	0	0	0	0	0	0	29
0.00058	26	4	0	0	0	0	0	0	0	0	30
0.00059	26	4	0	0	0	0	0	0	0	0	30
0.0006	29	4	0	0	0	0	0	0	0	0	33
0.00061	29	5	0	0	0	0	0	0	0	0	34
0.00062	29	5	0	0	0	0	0	0	0	0	34
0.00063	29	6	0	0	0	0	0	0	0	0	35
0.00064	30	6	0	0	0	0	0	0	0	0	36
0.00065	30	6	0	0	0	0	0	0	0	0	36
0.00066	30	6	0	0	0	0	0	0	0	0	36
0.00067	31	7	0	0	0	0	0	0	0	0	38
0.00068	31	7	0	0	0	0	0	0	0	0	38
0.00069	32	7	0	0	0	0	0	0	0	0	39
0.0007	33	7	0	0	0	0	0	0	0	0	40
0.00071	34	7	0	0	0	0	0	0	0	0	41
0.00072	35	8	0	0	0	0	0	0	0	0	43
0.00073	35	8	0	0	0	0	0	0	0	0	43
0.00074	36	8	0	0	0	0	0	0	0	0	44
0.00075	36	8	0	0	0	0	0	0	0	0	44
0.00076	36	8	0	0	0	0	0	0	0	0	44
0.00077	36	8	0	0	0	0	0	0	0	0	44
0.00078	37	9	0	0	0	0	0	0	0	0	46
0.00079	39	10	0	0	0	0	0	0	0	0	49
0.0008	40	11	0	0	0	0	0	0	0	0	51
0.00081	40	11	0	0	0	0	0	0	0	0	51
0.00082	40	11	0	0	0	0	0	0	0	0	51
0.00083	40	12	0	0	0	0	0	0	0	0	52
0.00084	40	13	0	0	0	0	0	0	0	0	53
