Time (s),pip2(ap2),ap2(a),ap2(b),ap2(#ref),trans(ap2),trans(#pip2),trans(#ref),ap2(b!1).pip2(ap2!1),ap2(a!1).trans(ap2!1)
0,1000,500,500,500,100,100,100,0,0
1e-05,1000,500,500,500,100,100,100,0,0
2e-05,998,500,498,500,100,100,100,2,0
3e-05,998,499,498,500,99,100,100,2,1
4e-05,998,499,498,500,99,100,100,2,1
5e-05,998,499,498,500,99,100,100,2,1
6e-05,996,499,496,500,99,100,100,4,1
7e-05,995,499,495,500,99,100,100,5,1
8e-05,995,499,495,500,99,100,100,5,1
9e-05,994,499,494,500,99,100,100,6,1
0.0001,993,499,493,500,99,100,100,7,1
0.00011,993,499,493,500,99,100,100,7,1
0.00012,992,499,492,500,99,100,100,8,1
0.00013,989,499,489,500,99,100,100,11,1
0.00014,988,499,488,500,99,100,100,12,1
0.00015,988,499,488,500,99,100,100,12,1
0.00016,988,499,488,500,99,100,100,12,1
0.00017,988,498,488,500,98,100,100,12,2
0.00018,986,498,486,500,98,100,100,14,2
0.00019,986,498,486,500,98,100,100,14,2
0.0002,986,498,486,500,98,100,100,14,2
0.00021,985,498,485,500,98,100,100,15,2
0.00022,985,498,485,500,98,100,100,15,2
0.00023,984,497,484,500,97,100,100,16,3
0.00024,984,497,484,500,97,100,100,16,3
0.00025,984,496,484,500,96,100,100,16,4
0.00026,982,496,482,500,96,100,100,18,4
0.00027,981,496,481,500,96,100,100,19,4
0.00028,981,496,481,500,96,100,100,19,4
0.00029,981,496,481,500,96,100,100,19,4
0.0003,981,496,481,500,96,100,100,19,4
0.00031,981,496,481,500,96,100,100,19,4
0.00032,980,496,480,500,96,100,100,20,4
0.00033,980,496,480,500,96,100,100,20,4
0.00034,979,496,479,500,96,100,100,21,4
0.00035,979,496,479,500,96,100,100,21,4
0.00036,979,496,479,500,96,100,100,21,4
0.00037,980,496,480,500,96,100,100,20,4
0.00038,980,496,480,500,96,100,100,20,4
0.00039,980,496,480,500,96,100,100,20,4
0.0004,980,496,480,500,96,100,100,20,4
0.00041,979,496,479,500,96,100,100,21,4
0.00042,979,496,479,500,96,100,100,21,4
0.00043,979,496,479,500,96,100,100,21,4
0.00044,979,496,479,500,96,100,100,21,4
0.00045,978,496,478,500,96,100,100,22,4
0.00046,978,496,478,500,96,100,100,22,4
0.00047,978,495,478,500,95,100,100,22,5
0.00048,978,495,478,500,95,100,100,22,5
0.00049,977,495,477,500,95,100,100,23,5
0.0005,977,495,477,500,95,100,100,23,5
0.00051,977,495,477,500,95,100,100,23,5
0.00052,976,495,476,500,95,100,100,24,5
0.00053,976,495,476,500,95,100,100,24,5
0.00054,975,495,475,500,95,100,100,25,5
0.00055,975,494,475,500,94,100,100,25,6
0.00056,975,494,475,500,94,100,100,25,6
0.00057,975,494,475,500,94,100,100,25,6
0.00058,975,494,475,500,94,100,100,25,6
0.00059,974,493,474,500,93,100,100,26,7
0.0006,973,493,473,500,93,100,100,27,7
0.00061,972,493,472,500,93,100,100,28,7
0.00062,971,493,471,500,93,100,100,29,7
0.00063,971,493,471,500,93,100,100,29,7
0.00064,971,493,471,500,93,100,100,29,7
0.00065,971,493,471,500,93,100,100,29,7
0.00066,971,493,471,500,93,100,100,29,7
0.00067,970,492,470,500,92,100,100,30,8
0.00068,970,492,470,500,92,100,100,30,8
0.00069,970,492,470,500,92,100,100,30,8
0.0007,969,491,469,500,91,100,100,31,9
0.00071,968,491,468,500,91,100,100,32,9
0.00072,968,491,468,500,91,100,100,32,9
0.00073,968,491,468,500,91,100,100,32,9
0.00074,967,491,467,500,91,100,100,33,9
0.00075,967,490,467,500,90,100,100,33,10
0.00076,967,490,467,500,90,100,100,33,10
0.00077,965,490,465,500,90,100,100,35,10
0.00078,965,490,465,500,90,100,100,35,10
0.00079,963,490,463,500,90,100,100,37,10
0.0008,960,490,460,500,90,100,100,40,10
0.00081,960,490,460,500,90,100,100,40,10
0.00082,958,490,458,500,90,100,100,42,10
0.00083,958,489,458,500,89,100,100,42,11
0.00084,958,489,458,500,89,100,100,42,11
0.00085,958,489,458,500,89,100,100,42,11
0.00086,958,489,458,500,89,100,100,42,11
0.00087,957,489,457,500,89,100,100,43,11
0.00088,957,489,457,500,89,100,100,43,11
0.00089,957,489,457,500,89,100,100,43,11
0.0009,957,489,457,500,89,100,100,43,11
0.00091,957,489,457,500,89,100,100,43,11
0.00092,956,489,456,500,89,100,100,44,11
0.00093,955,488,455,500,88,100,100,45,12
0.00094,954,488,454,500,88,100,100,46,12
0.00095,952,488,452,500,88,100,100,48,12
0.00096,952,488,452,500,88,100,100,48,12
0.00097,952,488,452,500,88,100,100,48,12
0.00098,952,488,452,500,88,100,100,48,12
0.00099,952,488,452,500,88,100,100,48,12
0.001,951,488,451,500,88,100,100,49,12
0.00101,951,488,451,500,88,100,100,49,12
0.00102,951,488,451,500,88,100,100,49,12
0.00103,949,488,449,500,88,100,100,51,12
0.00104,949,488,449,500,88,100,100,51,12
0.00105,949,488,449,500,88,100,100,51,12
0.00106,948,488,448,500,88,100,100,52,12
0.00107,948,488,448,500,88,100,100,52,12
0.00108,948,488,448,500,88,100,100,52,12
0.00109,948,487,448,500,87,100,100,52,13
0.0011,948,486,448,500,86,100,100,52,14
