Time (s): 0
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 1e-05
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 2e-05
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 3e-05
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 4e-05
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 5e-05
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 6e-05
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 7e-05
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 8e-05
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 9e-05
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0001
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00011
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00012
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00013
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00014
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00015
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00016
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00017
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00018
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00019
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.0002
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00021
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00022
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00023
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00024
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00025
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00026
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
Time (s): 0.00027
1000	pip2: 1. 
1	ap2: 1. 
100	trans: 1. 
