Time (s),pip2(ap2),ap2(a),ap2(b),ap2(#ref),trans(ap2),trans(#pip2),trans(#ref),ap2(b!1).pip2(ap2!1),ap2(a!1).trans(ap2!1)
0,1000,1,1,1,300,300,300,0,0
1e-05,1000,1,1,1,300,300,300,0,0
2e-05,1000,1,1,1,300,300,300,0,0
3e-05,1000,1,1,1,300,300,300,0,0
4e-05,1000,1,1,1,300,300,300,0,0
5e-05,1000,1,1,1,300,300,300,0,0
6e-05,1000,1,1,1,300,300,300,0,0
7e-05,1000,1,1,1,300,300,300,0,0
8e-05,1000,1,1,1,300,300,300,0,0
9e-05,1000,1,1,1,300,300,300,0,0
0.0001,1000,1,1,1,300,300,300,0,0
0.00011,1000,1,1,1,300,300,300,0,0
0.00012,1000,1,1,1,300,300,300,0,0
0.00013,1000,1,1,1,300,300,300,0,0
0.00014,1000,1,1,1,300,300,300,0,0
0.00015,1000,1,1,1,300,300,300,0,0
0.00016,1000,1,1,1,300,300,300,0,0
0.00017,1000,1,1,1,300,300,300,0,0
0.00018,1000,1,1,1,300,300,300,0,0
0.00019,1000,1,1,1,300,300,300,0,0
0.0002,1000,1,1,1,300,300,300,0,0
0.00021,1000,1,1,1,300,300,300,0,0
0.00022,1000,1,1,1,300,300,300,0,0
0.00023,1000,1,1,1,300,300,300,0,0
0.00024,1000,1,1,1,300,300,300,0,0
0.00025,1000,1,1,1,300,300,300,0,0
0.00026,1000,1,1,1,300,300,300,0,0
0.00027,1000,1,1,1,300,300,300,0,0
0.00028,1000,1,1,1,300,300,300,0,0
0.00029,1000,1,1,1,300,300,300,0,0
0.0003,1000,1,1,1,300,300,300,0,0
0.00031,1000,1,1,1,300,300,300,0,0
0.00032,1000,1,1,1,300,300,300,0,0
0.00033,1000,1,1,1,300,300,300,0,0
0.00034,1000,1,1,1,300,300,300,0,0
0.00035,1000,1,1,1,300,300,300,0,0
0.00036,1000,1,1,1,300,300,300,0,0
0.00037,1000,1,1,1,300,300,300,0,0
0.00038,1000,1,1,1,300,300,300,0,0
0.00039,1000,1,1,1,300,300,300,0,0
0.0004,1000,1,1,1,300,300,300,0,0
0.00041,1000,1,1,1,300,300,300,0,0
0.00042,1000,1,1,1,300,300,300,0,0
0.00043,1000,1,1,1,300,300,300,0,0
0.00044,1000,1,1,1,300,300,300,0,0
0.00045,1000,1,1,1,300,300,300,0,0
0.00046,1000,1,1,1,300,300,300,0,0
0.00047,1000,1,1,1,300,300,300,0,0
0.00048,1000,1,1,1,300,300,300,0,0
0.00049,1000,1,1,1,300,300,300,0,0
0.0005,1000,1,1,1,300,300,300,0,0
0.00051,1000,1,1,1,300,300,300,0,0
0.00052,1000,1,1,1,300,300,300,0,0
0.00053,1000,1,1,1,300,300,300,0,0
0.00054,1000,1,1,1,300,300,300,0,0
0.00055,1000,1,1,1,300,300,300,0,0
0.00056,1000,1,1,1,300,300,300,0,0
0.00057,1000,1,1,1,300,300,300,0,0
0.00058,1000,1,1,1,300,300,300,0,0
0.00059,1000,1,1,1,300,300,300,0,0
0.0006,1000,1,1,1,300,300,300,0,0
0.00061,1000,1,1,1,300,300,300,0,0
0.00062,1000,1,1,1,300,300,300,0,0
0.00063,1000,1,1,1,300,300,300,0,0
0.00064,1000,1,1,1,300,300,300,0,0
0.00065,1000,1,1,1,300,300,300,0,0
0.00066,1000,1,1,1,300,300,300,0,0
0.00067,1000,1,1,1,300,300,300,0,0
0.00068,1000,1,1,1,300,300,300,0,0
0.00069,1000,1,1,1,300,300,300,0,0
0.0007,1000,1,1,1,300,300,300,0,0
0.00071,1000,1,1,1,300,300,300,0,0
0.00072,1000,1,1,1,300,300,300,0,0
0.00073,1000,1,1,1,300,300,300,0,0
0.00074,1000,1,1,1,300,300,300,0,0
0.00075,1000,1,1,1,300,300,300,0,0
0.00076,1000,1,1,1,300,300,300,0,0
0.00077,1000,1,1,1,300,300,300,0,0
0.00078,1000,1,1,1,300,300,300,0,0
0.00079,1000,1,1,1,300,300,300,0,0
0.0008,1000,1,1,1,300,300,300,0,0
0.00081,1000,1,1,1,300,300,300,0,0
0.00082,1000,1,1,1,300,300,300,0,0
0.00083,1000,1,1,1,300,300,300,0,0
0.00084,1000,1,1,1,300,300,300,0,0
0.00085,1000,1,1,1,300,300,300,0,0
0.00086,1000,1,1,1,300,300,300,0,0
0.00087,1000,1,1,1,300,300,300,0,0
0.00088,1000,1,1,1,300,300,300,0,0
0.00089,1000,1,1,1,300,300,300,0,0
0.0009,1000,1,1,1,300,300,300,0,0
0.00091,1000,1,1,1,300,300,300,0,0
0.00092,1000,1,1,1,300,300,300,0,0
0.00093,1000,1,1,1,300,300,300,0,0
0.00094,1000,1,1,1,300,300,300,0,0
0.00095,1000,1,1,1,300,300,300,0,0
0.00096,1000,1,1,1,300,300,300,0,0
0.00097,1000,1,1,1,300,300,300,0,0
0.00098,1000,1,1,1,300,300,300,0,0
0.00099,1000,1,1,1,300,300,300,0,0
0.001,1000,1,1,1,300,300,300,0,0
0.00101,1000,1,1,1,300,300,300,0,0
0.00102,999,1,0,1,300,300,300,1,0
0.00103,999,1,0,1,300,300,300,1,0
0.00104,999,1,0,1,300,300,300,1,0
0.00105,999,1,0,1,300,300,300,1,0
0.00106,999,1,0,1,300,300,300,1,0
0.00107,999,1,0,1,300,300,300,1,0
0.00108,999,1,0,1,300,300,300,1,0
0.00109,999,1,0,1,300,300,300,1,0
0.0011,999,1,0,1,300,300,300,1,0
0.00111,999,1,0,1,300,300,300,1,0
0.00112,999,1,0,1,300,300,300,1,0
0.00113,999,1,0,1,300,300,300,1,0
0.00114,999,1,0,1,300,300,300,1,0
0.00115,999,1,0,1,300,300,300,1,0
0.00116,999,1,0,1,300,300,300,1,0
0.00117,999,1,0,1,300,300,300,1,0
0.00118,999,1,0,1,300,300,300,1,0
0.00119,999,1,0,1,300,300,300,1,0
0.0012,999,1,0,1,300,300,300,1,0
0.00121,999,1,0,1,300,300,300,1,0
0.00122,999,1,0,1,300,300,300,1,0
0.00123,999,1,0,1,300,300,300,1,0
0.00124,999,1,0,1,300,300,300,1,0
0.00125,999,1,0,1,300,300,300,1,0
0.00126,999,1,0,1,300,300,300,1,0
0.00127,999,1,0,1,300,300,300,1,0
0.00128,999,1,0,1,300,300,300,1,0
0.00129,999,1,0,1,300,300,300,1,0
0.0013,999,1,0,1,300,300,300,1,0
0.00131,999,1,0,1,300,300,300,1,0
0.00132,999,1,0,1,300,300,300,1,0
0.00133,999,1,0,1,300,300,300,1,0
0.00134,999,1,0,1,300,300,300,1,0
0.00135,999,1,0,1,300,300,300,1,0
0.00136,999,1,0,1,300,300,300,1,0
0.00137,999,1,0,1,300,300,300,1,0
0.00138,999,1,0,1,300,300,300,1,0
0.00139,999,1,0,1,300,300,300,1,0
0.0014,999,1,0,1,300,300,300,1,0
0.00141,999,1,0,1,300,300,300,1,0
0.00142,999,1,0,1,300,300,300,1,0
0.00143,999,0,0,1,299,300,300,1,1
0.00144,999,0,0,1,299,300,300,1,1
0.00145,999,0,0,1,299,300,300,1,1
0.00146,999,0,0,1,299,300,300,1,1
0.00147,999,0,0,1,299,300,300,1,1
0.00148,999,0,0,1,299,300,300,1,1
0.00149,999,0,0,1,299,300,300,1,1
0.0015,999,0,0,1,299,300,300,1,1
0.00151,999,0,0,1,299,300,300,1,1
0.00152,999,0,0,1,299,300,300,1,1
0.00153,999,0,0,1,299,300,300,1,1
0.00154,999,0,0,1,299,300,300,1,1
0.00155,999,0,0,1,299,300,300,1,1
0.00156,999,0,0,1,299,300,300,1,1
0.00157,999,0,0,1,299,300,300,1,1
0.00158,999,0,0,1,299,300,300,1,1
0.00159,999,0,0,1,299,300,300,1,1
0.0016,999,0,0,1,299,300,300,1,1
0.00161,999,0,0,1,299,300,300,1,1
0.00162,999,0,0,1,299,300,300,1,1
0.00163,999,0,0,1,299,300,300,1,1
0.00164,999,0,0,1,299,300,300,1,1
0.00165,999,0,0,1,299,300,300,1,1
0.00166,999,0,0,1,299,300,300,1,1
0.00167,999,0,0,1,299,300,300,1,1
0.00168,999,0,0,1,299,300,300,1,1
0.00169,999,0,0,1,299,300,300,1,1
0.0017,999,0,0,1,299,300,300,1,1
0.00171,999,0,0,1,299,300,300,1,1
0.00172,999,0,0,1,299,300,300,1,1
0.00173,999,0,0,1,299,300,300,1,1
0.00174,999,0,0,1,299,300,300,1,1
0.00175,999,0,0,1,299,300,300,1,1
0.00176,999,0,0,1,299,300,300,1,1
0.00177,999,0,0,1,299,300,300,1,1
0.00178,999,0,0,1,299,300,300,1,1
0.00179,999,0,0,1,299,300,300,1,1
0.0018,999,0,0,1,299,300,300,1,1
0.00181,999,0,0,1,299,300,300,1,1
