TIME(s)	'pip2,ap2'	'ap2,trans'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0	0
5e-06	0	0	0	0	0	0	0	0	0	0
1e-05	0	0	0	0	0	0	0	0	0	0
1.5e-05	0	0	0	0	0	0	0	0	0	0
2e-05	0	0	0	0	0	0	0	0	0	0
2.5e-05	0	0	0	0	0	0	0	0	0	0
3e-05	0	0	0	0	0	0	0	0	0	0
3.5e-05	0	0	0	0	0	0	0	0	0	0
4e-05	0	0	0	0	0	0	0	0	0	0
4.5e-05	1	0	0	0	0	0	0	0	0	1
5e-05	1	0	0	0	0	0	0	0	0	1
5.5e-05	1	0	0	0	0	0	0	0	0	1
6e-05	1	0	0	0	0	0	0	0	0	1
6.5e-05	1	0	0	0	0	0	0	0	0	1
7e-05	1	0	0	0	0	0	0	0	0	1
7.5e-05	1	0	0	0	0	0	0	0	0	1
8e-05	1	0	0	0	0	0	0	0	0	1
8.5e-05	1	0	0	0	0	0	0	0	0	1
9e-05	1	0	0	0	0	0	0	0	0	1
9.5e-05	1	0	0	0	0	0	0	0	0	1
0.0001	1	0	0	0	0	0	0	0	0	1
0.000105	2	0	0	0	0	0	0	0	0	2
0.00011	2	0	0	0	0	0	0	0	0	2
0.000115	2	1	0	0	0	0	0	0	0	3
0.00012	2	1	0	0	0	0	0	0	0	3
0.000125	2	1	0	0	0	0	0	0	0	3
0.00013	2	1	0	0	0	0	0	0	0	3
0.000135	2	1	0	0	0	0	0	0	0	3
0.00014	2	1	0	0	0	0	0	0	0	3
0.000145	3	2	0	0	0	0	0	0	0	5
0.00015	3	2	0	0	0	0	0	0	0	5
0.000155	3	2	0	0	0	0	0	0	0	5
0.00016	3	2	0	0	0	0	0	0	0	5
0.000165	3	2	0	0	0	0	0	0	0	5
0.00017	3	2	0	0	0	0	0	0	0	5
0.000175	3	2	0	0	0	0	0	0	0	5
0.00018	3	2	0	0	0	0	0	0	0	5
0.000185	3	2	0	0	0	0	0	0	0	5
0.00019	4	2	0	0	0	0	0	0	0	6
0.000195	4	2	0	0	0	0	0	0	0	6
0.0002	4	2	0	0	0	0	0	0	0	6
0.000205	4	2	0	0	0	0	0	0	0	6
0.00021	4	3	0	0	0	0	0	0	0	7
0.000215	4	3	0	0	0	0	0	0	0	7
0.00022	4	3	0	0	0	0	0	0	0	7
0.000225	4	3	0	0	0	0	0	0	0	7
0.00023	4	3	0	0	0	0	0	0	0	7
0.000235	4	3	0	0	0	0	0	0	0	7
0.00024	4	3	0	0	0	0	0	0	0	7
0.000245	4	3	0	0	0	0	0	0	0	7
0.00025	5	3	0	0	0	0	0	0	0	8
0.000255	5	3	0	0	0	0	0	0	0	8
0.00026	5	3	0	0	0	0	0	0	0	8
0.000265	5	3	0	0	0	0	0	0	0	8
