Time (s),pip2(ap2),ap2(a),ap2(b),ap2(#ref),trans(ap2),trans(#pip2),trans(#ref),ap2(b!1).pip2(ap2!1),ap2(a!1).trans(ap2!1)
0,1000,500,500,500,1000,1000,1000,0,0
5e-06,1000,500,500,500,1000,1000,1000,0,0
1e-05,1000,500,500,500,1000,1000,1000,0,0
1.5e-05,1000,500,500,500,1000,1000,1000,0,0
2e-05,1000,500,500,500,1000,1000,1000,0,0
2.5e-05,1000,500,500,500,1000,1000,1000,0,0
3e-05,1000,500,500,500,1000,1000,1000,0,0
3.5e-05,1000,500,500,500,1000,1000,1000,0,0
4e-05,1000,500,500,500,1000,1000,1000,0,0
4.5e-05,999,500,499,500,1000,1000,1000,1,0
5e-05,999,500,499,500,1000,1000,1000,1,0
5.5e-05,999,500,499,500,1000,1000,1000,1,0
6e-05,999,500,499,500,1000,1000,1000,1,0
6.5e-05,999,500,499,500,1000,1000,1000,1,0
7e-05,999,500,499,500,1000,1000,1000,1,0
7.5e-05,999,500,499,500,1000,1000,1000,1,0
8e-05,999,500,499,500,1000,1000,1000,1,0
8.5e-05,999,500,499,500,1000,1000,1000,1,0
9e-05,999,500,499,500,1000,1000,1000,1,0
9.5e-05,999,500,499,500,1000,1000,1000,1,0
0.0001,999,500,499,500,1000,1000,1000,1,0
0.000105,998,500,498,500,1000,1000,1000,2,0
0.00011,998,500,498,500,1000,1000,1000,2,0
0.000115,998,499,498,500,999,1000,1000,2,1
0.00012,998,499,498,500,999,1000,1000,2,1
0.000125,998,499,498,500,999,1000,1000,2,1
0.00013,998,499,498,500,999,1000,1000,2,1
0.000135,998,499,498,500,999,1000,1000,2,1
0.00014,998,499,498,500,999,1000,1000,2,1
0.000145,997,498,497,500,998,1000,1000,3,2
0.00015,997,498,497,500,998,1000,1000,3,2
0.000155,997,498,497,500,998,1000,1000,3,2
0.00016,997,498,497,500,998,1000,1000,3,2
0.000165,997,498,497,500,998,1000,1000,3,2
0.00017,997,498,497,500,998,1000,1000,3,2
0.000175,997,498,497,500,998,1000,1000,3,2
0.00018,997,498,497,500,998,1000,1000,3,2
0.000185,997,498,497,500,998,1000,1000,3,2
