TIME (s) 	MONO:pip2	DIMERS W:pip2	MONO:ap2	DIMERS W:ap2	MONO:trans	DIMERS W:trans	
0	1000	0	500	0	1000	0	
5e-06	1000	0	500	0	1000	0	
1e-05	1000	0	500	0	1000	0	
1.5e-05	1000	0	500	0	1000	0	
2e-05	1000	0	500	0	1000	0	
2.5e-05	1000	0	500	0	1000	0	
3e-05	1000	0	500	0	1000	0	
3.5e-05	1000	0	500	0	1000	0	
4e-05	1000	0	500	0	1000	0	
4.5e-05	999	1	499	1	1000	0	
5e-05	999	1	499	1	1000	0	
5.5e-05	999	1	499	1	1000	0	
6e-05	999	1	499	1	1000	0	
6.5e-05	999	1	499	1	1000	0	
7e-05	999	1	499	1	1000	0	
7.5e-05	999	1	499	1	1000	0	
8e-05	999	1	499	1	1000	0	
8.5e-05	999	1	499	1	1000	0	
9e-05	999	1	499	1	1000	0	
9.5e-05	999	1	499	1	1000	0	
0.0001	999	1	499	1	1000	0	
0.000105	998	2	498	2	1000	0	
0.00011	998	2	498	2	1000	0	
0.000115	998	1	498	1	999	0	
0.00012	998	1	498	1	999	0	
0.000125	998	1	498	1	999	0	
0.00013	998	1	498	1	999	0	
0.000135	998	1	498	1	999	0	
0.00014	998	1	498	1	999	0	
0.000145	997	1	497	1	998	0	
0.00015	997	1	497	1	998	0	
0.000155	997	1	497	1	998	0	
0.00016	997	1	497	1	998	0	
0.000165	997	1	497	1	998	0	
0.00017	997	1	497	1	998	0	
0.000175	997	1	497	1	998	0	
0.00018	997	1	497	1	998	0	
0.000185	997	1	497	1	998	0	
0.00019	996	2	496	2	998	0	
0.000195	996	2	496	2	998	0	
0.0002	996	2	496	2	998	0	
0.000205	996	2	496	2	998	0	
0.00021	996	1	496	1	997	0	
0.000215	996	1	496	1	997	0	
0.00022	996	1	496	1	997	0	
0.000225	996	1	496	1	997	0	
0.00023	996	1	496	1	997	0	
0.000235	996	1	496	1	997	0	
0.00024	996	1	496	1	997	0	
0.000245	996	1	496	1	997	0	
0.00025	995	2	495	2	997	0	
0.000255	995	2	495	2	997	0	
0.00026	995	2	495	2	997	0	
0.000265	995	2	495	2	997	0	
0.00027	995	2	495	2	997	0	
0.000275	995	2	495	2	997	0	
0.00028	995	2	495	2	997	0	
0.000285	995	2	495	2	997	0	
0.00029	994	3	494	3	997	0	
0.000295	994	3	494	3	997	0	
0.0003	994	3	494	3	997	0	
0.000305	993	4	493	4	997	0	
0.00031	993	4	493	4	997	0	
0.000315	992	5	492	5	997	0	
0.00032	992	5	492	5	997	0	
0.000325	992	5	492	5	997	0	
0.00033	991	5	491	5	996	0	
0.000335	990	6	490	6	996	0	
0.00034	990	6	490	6	996	0	
0.000345	990	6	490	6	996	0	
0.00035	990	5	490	5	995	0	
0.000355	990	5	490	5	995	0	
0.00036	990	5	490	5	995	0	
0.000365	990	5	490	5	995	0	
0.00037	990	5	490	5	995	0	
0.000375	990	5	490	5	995	0	
0.00038	990	5	490	5	995	0	
0.000385	990	5	490	5	995	0	
0.00039	990	5	490	5	995	0	
0.000395	990	5	490	5	995	0	
0.0004	990	5	490	5	995	0	
0.000405	990	5	490	5	995	0	
0.00041	990	5	490	5	995	0	
0.000415	990	5	490	5	995	0	
0.00042	989	5	489	5	994	0	
0.000425	989	5	489	5	994	0	
0.00043	988	6	488	6	994	0	
0.000435	988	6	488	6	994	0	
0.00044	988	6	488	6	994	0	
0.000445	988	6	488	6	994	0	
0.00045	988	6	488	6	994	0	
0.000455	987	7	487	7	994	0	
0.00046	987	7	487	7	994	0	
0.000465	987	7	487	7	994	0	
0.00047	987	7	487	7	994	0	
0.000475	987	7	487	7	994	0	
0.00048	987	7	487	7	994	0	
0.000485	987	6	487	6	993	0	
0.00049	987	5	487	5	992	0	
0.000495	987	5	487	5	992	0	
0.0005	987	3	487	3	990	0	
0.000505	987	3	487	3	990	0	
0.00051	987	2	487	2	989	0	
0.000515	986	3	486	3	989	0	
0.00052	986	2	486	2	988	0	
0.000525	986	2	486	2	988	0	
0.00053	986	2	486	2	988	0	
0.000535	986	2	486	2	988	0	
0.00054	986	2	486	2	988	0	
0.000545	985	3	485	3	988	0	
0.00055	984	4	484	4	988	0	
0.000555	984	4	484	4	988	0	
0.00056	984	4	484	4	988	0	
0.000565	984	3	484	3	987	0	
0.00057	984	3	484	3	987	0	
0.000575	984	3	484	3	987	0	
0.00058	983	4	483	4	987	0	
0.000585	983	4	483	4	987	0	
0.00059	983	4	483	4	987	0	
0.000595	983	4	483	4	987	0	
0.0006	982	5	482	5	987	0	
0.000605	982	5	482	5	987	0	
0.00061	982	5	482	5	987	0	
0.000615	982	5	482	5	987	0	
0.00062	982	5	482	5	987	0	
0.000625	982	5	482	5	987	0	
0.00063	982	5	482	5	987	0	
0.000635	982	5	482	5	987	0	
0.00064	982	5	482	5	987	0	
0.000645	982	5	482	5	987	0	
0.00065	982	5	482	5	987	0	
0.000655	982	5	482	5	987	0	
0.00066	982	5	482	5	987	0	
0.000665	982	5	482	5	987	0	
0.00067	982	5	482	5	987	0	
0.000675	982	5	482	5	987	0	
0.00068	982	5	482	5	987	0	
0.000685	982	5	482	5	987	0	
0.00069	982	5	482	5	987	0	
0.000695	982	5	482	5	987	0	
0.0007	982	5	482	5	987	0	
0.000705	982	5	482	5	987	0	
0.00071	982	5	482	5	987	0	
0.000715	982	5	482	5	987	0	
0.00072	982	5	482	5	987	0	
0.000725	982	5	482	5	987	0	
0.00073	982	5	482	5	987	0	
0.000735	982	5	482	5	987	0	
0.00074	981	6	481	6	987	0	
0.000745	980	7	480	7	987	0	
0.00075	980	7	480	7	987	0	
0.000755	978	9	478	9	987	0	
0.00076	977	9	477	9	986	0	
0.000765	977	9	477	9	986	0	
0.00077	977	9	477	9	986	0	
0.000775	977	9	477	9	986	0	
0.00078	977	9	477	9	986	0	
0.000785	977	9	477	9	986	0	
0.00079	977	9	477	9	986	0	
0.000795	977	9	477	9	986	0	
0.0008	977	8	477	8	985	0	
0.000805	977	8	477	8	985	0	
0.00081	977	8	477	8	985	0	
0.000815	977	8	477	8	985	0	
0.00082	977	8	477	8	985	0	
0.000825	977	8	477	8	985	0	
0.00083	977	8	477	8	985	0	
0.000835	977	8	477	8	985	0	
0.00084	977	8	477	8	985	0	
0.000845	977	8	477	8	985	0	
0.00085	977	8	477	8	985	0	
0.000855	977	8	477	8	985	0	
0.00086	977	7	477	7	984	0	
0.000865	976	8	476	8	984	0	
0.00087	976	8	476	8	984	0	
0.000875	976	7	476	7	983	0	
0.00088	976	7	476	7	983	0	
0.000885	976	7	476	7	983	0	
0.00089	976	7	476	7	983	0	
0.000895	976	6	476	6	982	0	
0.0009	976	6	476	6	982	0	
0.000905	976	6	476	6	982	0	
0.00091	976	5	476	5	981	0	
0.000915	975	6	475	6	981	0	
0.00092	974	7	474	7	981	0	
0.000925	974	6	474	6	980	0	
0.00093	973	6	473	6	979	0	
0.000935	973	6	473	6	979	0	
0.00094	973	6	473	6	979	0	
0.000945	972	7	472	7	979	0	
0.00095	972	7	472	7	979	0	
0.000955	972	7	472	7	979	0	
0.00096	972	7	472	7	979	0	
0.000965	972	6	472	6	978	0	
0.00097	972	6	472	6	978	0	
0.000975	972	5	472	5	977	0	
0.00098	972	5	472	5	977	0	
0.000985	972	5	472	5	977	0	
0.00099	972	5	472	5	977	0	
0.000995	972	5	472	5	977	0	
0.001	972	5	472	5	977	0	
0.001005	972	5	472	5	977	0	
0.00101	972	5	472	5	977	0	
0.001015	972	5	472	5	977	0	
0.00102	971	5	471	5	976	0	
0.001025	970	6	470	6	976	0	
0.00103	970	5	470	5	975	0	
0.001035	970	5	470	5	975	0	
0.00104	970	5	470	5	975	0	
0.001045	970	5	470	5	975	0	
0.00105	969	6	469	6	975	0	
0.001055	968	7	468	7	975	0	
0.00106	968	7	468	7	975	0	
0.001065	968	7	468	7	975	0	
0.00107	968	7	468	7	975	0	
0.001075	968	7	468	7	975	0	
0.00108	968	7	468	7	975	0	
0.001085	968	7	468	7	975	0	
0.00109	968	7	468	7	975	0	
0.001095	968	7	468	7	975	0	
0.0011	967	7	467	7	974	0	
0.001105	967	7	467	7	974	0	
0.00111	967	7	467	7	974	0	
0.001115	967	6	467	6	973	0	
0.00112	967	6	467	6	973	0	
0.001125	967	6	467	6	973	0	
0.00113	967	6	467	6	973	0	
0.001135	967	6	467	6	973	0	
0.00114	966	7	466	7	973	0	
0.001145	966	7	466	7	973	0	
0.00115	966	7	466	7	973	0	
0.001155	966	7	466	7	973	0	
0.00116	966	7	466	7	973	0	
0.001165	966	7	466	7	973	0	
0.00117	966	7	466	7	973	0	
0.001175	965	8	465	8	973	0	
0.00118	964	9	464	9	973	0	
0.001185	964	8	464	8	972	0	
