TIME(s)	'pip2,ap2'	'ap2,trans'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0	0
1e-05	1	0	0	0	0	0	0	0	0	1
2e-05	2	1	0	0	0	0	0	0	0	3
3e-05	2	1	0	0	0	0	0	0	0	3
4e-05	2	1	0	0	0	0	0	0	0	3
5e-05	2	1	0	0	0	0	0	0	0	3
6e-05	3	2	0	0	0	0	0	0	0	5
7e-05	6	2	0	0	0	0	0	0	0	8
8e-05	6	2	0	0	0	0	0	0	0	8
9e-05	7	2	0	0	0	0	0	0	0	9
0.0001	7	2	0	0	0	0	0	0	0	9
0.00011	7	2	0	0	0	0	0	0	0	9
0.00012	8	2	0	0	0	0	0	0	0	10
0.00013	9	2	0	0	0	0	0	0	0	11
0.00014	10	2	0	0	0	0	0	0	0	12
0.00015	10	3	0	0	0	0	0	0	0	13
0.00016	10	3	0	0	0	0	0	0	0	13
0.00017	10	5	0	0	0	0	0	0	0	15
0.00018	10	6	0	0	0	0	0	0	0	16
0.00019	11	6	0	0	0	0	0	0	0	17
0.0002	12	6	0	0	0	0	0	0	0	18
0.00021	12	6	0	0	0	0	0	0	0	18
0.00022	13	6	0	0	0	0	0	0	0	19
0.00023	15	6	0	0	0	0	0	0	0	21
0.00024	16	8	0	0	0	0	0	0	0	24
0.00025	15	8	0	0	0	0	0	0	0	24
0.00026	15	8	0	0	0	0	0	0	0	24
0.00027	15	8	0	0	0	0	0	0	0	24
0.00028	17	8	0	0	0	0	0	0	0	26
0.00029	18	8	0	0	0	0	0	0	0	27
0.0003	18	8	0	0	0	0	0	0	0	27
0.00031	18	9	0	0	0	0	0	0	0	28
0.00032	18	9	0	0	0	0	0	0	0	28
0.00033	19	9	0	0	0	0	0	0	0	29
0.00034	19	9	0	0	0	0	0	0	0	29
0.00035	19	9	0	0	0	0	0	0	0	29
0.00036	19	9	0	0	0	0	0	0	0	29
0.00037	19	9	0	0	0	0	0	0	0	29
0.00038	19	9	0	0	0	0	0	0	0	29
0.00039	19	10	0	0	0	0	0	0	0	30
0.0004	21	10	0	0	0	0	0	0	0	32
0.00041	21	10	0	0	0	0	0	0	0	32
0.00042	21	10	0	0	0	0	0	0	0	32
0.00043	21	11	0	0	0	0	0	0	0	33
0.00044	22	11	0	0	0	0	0	0	0	34
0.00045	23	12	0	0	0	0	0	0	0	36
0.00046	24	12	0	0	0	0	0	0	0	37
0.00047	24	12	0	0	0	0	0	0	0	37
0.00048	24	12	0	0	0	0	0	0	0	37
0.00049	25	14	0	0	0	0	0	0	0	40
0.0005	26	14	0	0	0	0	0	0	0	41
0.00051	26	14	0	0	0	0	0	0	0	41
0.00052	26	15	0	0	0	0	0	0	0	42
0.00053	26	15	0	0	0	0	0	0	0	42
0.00054	26	16	0	0	0	0	0	0	0	43
0.00055	26	16	0	0	0	0	0	0	0	43
0.00056	26	16	0	0	0	0	0	0	0	43
0.00057	27	16	0	0	0	0	0	0	0	44
0.00058	27	16	0	0	0	0	0	0	0	44
0.00059	27	17	0	0	0	0	0	0	0	45
0.0006	27	17	0	0	0	0	0	0	0	45
0.00061	27	17	0	0	0	0	0	0	0	45
0.00062	27	17	0	0	0	0	0	0	0	45
0.00063	29	17	0	0	0	0	0	0	0	47
0.00064	29	17	0	0	0	0	0	0	0	47
0.00065	31	18	0	0	0	0	0	0	0	50
0.00066	32	18	0	0	0	0	0	0	0	51
0.00067	32	18	0	0	0	0	0	0	0	51
0.00068	32	18	0	0	0	0	0	0	0	51
0.00069	32	19	0	0	0	0	0	0	0	52
0.0007	32	19	0	0	0	0	0	0	0	52
0.00071	33	21	0	0	0	0	0	0	0	55
