Time (s),pip2(ap2),ap2(a),ap2(b),ap2(#ref),trans(ap2),trans(#pip2),trans(#ref),ap2(b!1).pip2(ap2!1),ap2(a!1).trans(ap2!1)
0,1000,500,500,500,500,500,500,0,0
1e-05,999,500,499,500,500,500,500,1,0
2e-05,998,499,498,500,499,500,500,2,1
3e-05,998,499,498,500,499,500,500,2,1
4e-05,998,499,498,500,499,500,500,2,1
5e-05,998,499,498,500,499,500,500,2,1
6e-05,997,498,497,500,498,500,500,3,2
7e-05,994,498,494,500,498,500,500,6,2
8e-05,994,498,494,500,498,500,500,6,2
9e-05,993,498,493,500,498,500,500,7,2
0.0001,993,498,493,500,498,500,500,7,2
0.00011,993,498,493,500,498,500,500,7,2
0.00012,992,498,492,500,498,500,500,8,2
0.00013,991,498,491,500,498,500,500,9,2
0.00014,990,498,490,500,498,500,500,10,2
0.00015,990,497,490,500,497,500,500,10,3
0.00016,990,497,490,500,497,500,500,10,3
0.00017,990,495,490,500,495,500,500,10,5
0.00018,990,494,490,500,494,500,500,10,6
0.00019,989,494,489,500,494,500,500,11,6
0.0002,988,494,488,500,494,500,500,12,6
0.00021,988,494,488,500,494,500,500,12,6
0.00022,987,494,487,500,494,500,500,13,6
0.00023,985,494,485,500,494,500,500,15,6
0.00024,984,492,484,500,492,500,500,16,8
0.00025,985,492,485,500,492,500,500,15,8
0.00026,985,492,485,500,492,500,500,15,8
0.00027,985,492,485,500,492,500,500,15,8
0.00028,983,492,483,500,492,500,500,17,8
0.00029,982,492,482,500,492,500,500,18,8
0.0003,982,492,482,500,492,500,500,18,8
0.00031,982,491,482,500,491,500,500,18,9
0.00032,982,491,482,500,491,500,500,18,9
0.00033,981,491,481,500,491,500,500,19,9
0.00034,981,491,481,500,491,500,500,19,9
0.00035,981,491,481,500,491,500,500,19,9
0.00036,981,491,481,500,491,500,500,19,9
0.00037,981,491,481,500,491,500,500,19,9
0.00038,981,491,481,500,491,500,500,19,9
0.00039,981,490,481,500,490,500,500,19,10
0.0004,979,490,479,500,490,500,500,21,10
0.00041,979,490,479,500,490,500,500,21,10
0.00042,979,490,479,500,490,500,500,21,10
0.00043,979,489,479,500,489,500,500,21,11
0.00044,978,489,478,500,489,500,500,22,11
0.00045,977,488,477,500,488,500,500,23,12
0.00046,976,488,476,500,488,500,500,24,12
0.00047,976,488,476,500,488,500,500,24,12
0.00048,976,488,476,500,488,500,500,24,12
