Time (s): 0
1000	pip2: 1. 
500	ap2: 1. 
500	trans: 1. 
Time (s): 1e-05
999	pip2: 1. 
500	trans: 1. 
499	ap2: 1. 
1	pip2: 1. ap2: 1. 
Time (s): 2e-05
998	pip2: 1. 
499	trans: 1. 
498	ap2: 1. 
1	pip2: 1. ap2: 1. 
1	pip2: 1. ap2: 1. trans: 1. 
Time (s): 3e-05
998	pip2: 1. 
499	trans: 1. 
498	ap2: 1. 
1	pip2: 1. ap2: 1. 
1	pip2: 1. ap2: 1. trans: 1. 
Time (s): 4e-05
998	pip2: 1. 
499	trans: 1. 
498	ap2: 1. 
1	pip2: 1. ap2: 1. 
1	pip2: 1. ap2: 1. trans: 1. 
Time (s): 5e-05
998	pip2: 1. 
499	trans: 1. 
498	ap2: 1. 
1	pip2: 1. ap2: 1. 
1	pip2: 1. ap2: 1. trans: 1. 
Time (s): 6e-05
997	pip2: 1. 
498	trans: 1. 
497	ap2: 1. 
2	pip2: 1. ap2: 1. trans: 1. 
1	pip2: 1. ap2: 1. 
Time (s): 7e-05
994	pip2: 1. 
498	trans: 1. 
494	ap2: 1. 
2	pip2: 1. ap2: 1. trans: 1. 
4	pip2: 1. ap2: 1. 
Time (s): 8e-05
994	pip2: 1. 
498	trans: 1. 
494	ap2: 1. 
2	pip2: 1. ap2: 1. trans: 1. 
4	pip2: 1. ap2: 1. 
Time (s): 9e-05
993	pip2: 1. 
498	trans: 1. 
493	ap2: 1. 
5	pip2: 1. ap2: 1. 
2	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.0001
993	pip2: 1. 
498	trans: 1. 
493	ap2: 1. 
5	pip2: 1. ap2: 1. 
2	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00011
993	pip2: 1. 
498	trans: 1. 
493	ap2: 1. 
5	pip2: 1. ap2: 1. 
2	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00012
992	pip2: 1. 
498	trans: 1. 
492	ap2: 1. 
6	pip2: 1. ap2: 1. 
2	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00013
991	pip2: 1. 
498	trans: 1. 
491	ap2: 1. 
7	pip2: 1. ap2: 1. 
2	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00014
990	pip2: 1. 
498	trans: 1. 
490	ap2: 1. 
8	pip2: 1. ap2: 1. 
2	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00015
990	pip2: 1. 
497	trans: 1. 
490	ap2: 1. 
7	pip2: 1. ap2: 1. 
3	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00016
990	pip2: 1. 
497	trans: 1. 
490	ap2: 1. 
7	pip2: 1. ap2: 1. 
3	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00017
990	pip2: 1. 
495	trans: 1. 
490	ap2: 1. 
5	pip2: 1. ap2: 1. 
5	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00018
990	pip2: 1. 
494	trans: 1. 
490	ap2: 1. 
4	pip2: 1. ap2: 1. 
6	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00019
989	pip2: 1. 
494	trans: 1. 
489	ap2: 1. 
5	pip2: 1. ap2: 1. 
6	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.0002
988	pip2: 1. 
494	trans: 1. 
488	ap2: 1. 
6	pip2: 1. ap2: 1. 
6	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00021
988	pip2: 1. 
494	trans: 1. 
488	ap2: 1. 
6	pip2: 1. ap2: 1. 
6	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00022
987	pip2: 1. 
494	trans: 1. 
487	ap2: 1. 
7	pip2: 1. ap2: 1. 
6	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00023
985	pip2: 1. 
494	trans: 1. 
485	ap2: 1. 
9	pip2: 1. ap2: 1. 
6	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00024
984	pip2: 1. 
492	trans: 1. 
484	ap2: 1. 
8	pip2: 1. ap2: 1. 
8	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00025
985	pip2: 1. 
492	trans: 1. 
484	ap2: 1. 
8	pip2: 1. ap2: 1. 
7	pip2: 1. ap2: 1. trans: 1. 
1	ap2: 1. trans: 1. 
Time (s): 0.00026
985	pip2: 1. 
492	trans: 1. 
484	ap2: 1. 
8	pip2: 1. ap2: 1. 
