TIME (s) 	MONO:pip2	DIMERS W:pip2	MONO:ap2	DIMERS W:ap2	MONO:trans	DIMERS W:trans	
0	1000	0	500	0	500	0	
1e-05	999	1	499	1	500	0	
2e-05	998	1	498	1	499	0	
3e-05	998	1	498	1	499	0	
4e-05	998	1	498	1	499	0	
5e-05	998	1	498	1	499	0	
6e-05	997	1	497	1	498	0	
7e-05	994	4	494	4	498	0	
8e-05	994	4	494	4	498	0	
9e-05	993	5	493	5	498	0	
0.0001	993	5	493	5	498	0	
0.00011	993	5	493	5	498	0	
0.00012	992	6	492	6	498	0	
0.00013	991	7	491	7	498	0	
0.00014	990	8	490	8	498	0	
0.00015	990	7	490	7	497	0	
0.00016	990	7	490	7	497	0	
0.00017	990	5	490	5	495	0	
0.00018	990	4	490	4	494	0	
0.00019	989	5	489	5	494	0	
0.0002	988	6	488	6	494	0	
0.00021	988	6	488	6	494	0	
0.00022	987	7	487	7	494	0	
0.00023	985	9	485	9	494	0	
0.00024	984	8	484	8	492	0	
0.00025	985	8	484	9	492	1	
0.00026	985	8	484	9	492	1	
0.00027	985	8	484	9	492	1	
0.00028	983	10	482	11	492	1	
0.00029	982	10	482	10	492	0	
0.0003	982	10	482	10	492	0	
0.00031	982	9	482	9	491	0	
0.00032	982	9	482	9	491	0	
0.00033	981	10	481	10	491	0	
0.00034	981	10	481	10	491	0	
0.00035	981	10	481	10	491	0	
0.00036	981	10	481	10	491	0	
0.00037	981	10	481	10	491	0	
0.00038	981	10	481	10	491	0	
0.00039	981	9	481	9	490	0	
0.0004	979	11	479	11	490	0	
0.00041	979	11	479	11	490	0	
0.00042	979	11	479	11	490	0	
0.00043	979	10	479	10	489	0	
0.00044	978	11	478	11	489	0	
0.00045	977	11	477	11	488	0	
0.00046	976	12	476	12	488	0	
0.00047	976	12	476	12	488	0	
0.00048	976	12	476	12	488	0	
0.00049	975	11	475	11	486	0	
0.0005	974	12	474	12	486	0	
0.00051	974	12	474	12	486	0	
0.00052	974	11	474	11	485	0	
0.00053	974	11	474	11	485	0	
0.00054	974	10	474	10	484	0	
0.00055	974	10	474	10	484	0	
0.00056	974	10	474	10	484	0	
0.00057	973	11	473	11	484	0	
0.00058	973	11	473	11	484	0	
0.00059	973	10	473	10	483	0	
0.0006	973	10	473	10	483	0	
0.00061	973	10	473	10	483	0	
0.00062	973	10	473	10	483	0	
0.00063	971	12	471	12	483	0	
0.00064	971	12	471	12	483	0	
0.00065	969	13	469	13	482	0	
0.00066	968	14	468	14	482	0	
0.00067	968	14	468	14	482	0	
0.00068	968	14	468	14	482	0	
0.00069	968	13	468	13	481	0	
0.0007	968	13	468	13	481	0	
0.00071	967	12	467	12	479	0	
0.00072	967	12	467	12	479	0	
0.00073	967	12	467	12	479	0	
0.00074	967	11	467	11	478	0	
0.00075	967	11	467	11	478	0	
0.00076	967	11	467	11	478	0	
0.00077	967	11	467	11	478	0	
0.00078	967	11	467	11	478	0	
0.00079	967	11	467	11	478	0	
0.0008	967	11	467	11	478	0	
0.00081	966	12	466	12	478	0	
0.00082	966	11	466	11	477	0	
0.00083	966	11	466	11	477	0	
0.00084	966	10	466	10	476	0	
0.00085	966	10	466	10	476	0	
0.00086	966	9	466	9	475	0	
0.00087	966	9	466	9	475	0	
0.00088	965	9	465	9	474	0	
0.00089	965	8	465	8	473	0	
0.0009	964	9	464	9	473	0	
0.00091	964	9	464	9	473	0	
0.00092	964	9	464	9	473	0	
0.00093	964	9	464	9	473	0	
0.00094	962	11	462	11	473	0	
0.00095	962	10	462	10	472	0	
0.00096	962	10	462	10	472	0	
0.00097	961	10	461	10	471	0	
0.00098	961	7	461	7	468	0	
0.00099	961	7	461	7	468	0	
0.001	961	6	461	6	467	0	
0.00101	961	6	461	6	467	0	
0.00102	961	5	461	5	466	0	
0.00103	961	5	461	5	466	0	
0.00104	961	5	461	5	466	0	
0.00105	961	5	461	5	466	0	
0.00106	960	6	460	6	466	0	
0.00107	960	6	460	6	466	0	
0.00108	960	6	460	6	466	0	
0.00109	959	7	459	7	466	0	
0.0011	959	6	459	6	465	0	
0.00111	959	6	459	6	465	0	
0.00112	959	6	459	6	465	0	
0.00113	960	6	459	7	465	1	
0.00114	960	6	459	7	465	1	
0.00115	960	5	459	6	464	1	
0.00116	959	6	458	7	464	1	
0.00117	959	6	458	7	464	1	
0.00118	959	6	458	7	464	1	
0.00119	959	6	458	7	464	1	
0.0012	959	6	458	7	464	1	
0.00121	958	6	458	6	464	0	
0.00122	958	6	458	6	464	0	
0.00123	958	6	458	6	464	0	
0.00124	958	6	458	6	464	0	
0.00125	958	6	458	6	464	0	
0.00126	958	6	458	6	464	0	
0.00127	958	6	458	6	464	0	
0.00128	957	7	457	7	464	0	
0.00129	957	7	457	7	464	0	
0.0013	956	8	456	8	464	0	
0.00131	956	8	456	8	464	0	
0.00132	956	8	456	8	464	0	
0.00133	956	8	456	8	464	0	
0.00134	955	9	455	9	464	0	
0.00135	954	10	454	10	464	0	
0.00136	954	9	454	9	463	0	
0.00137	954	8	454	8	462	0	
0.00138	954	7	454	7	461	0	
0.00139	954	7	454	7	461	0	
0.0014	954	7	454	7	461	0	
0.00141	954	7	454	7	461	0	
0.00142	954	7	454	7	461	0	
0.00143	954	7	454	7	461	0	
0.00144	954	7	454	7	461	0	
0.00145	954	7	454	7	461	0	
0.00146	954	7	454	7	461	0	
0.00147	954	7	454	7	461	0	
0.00148	954	7	454	7	461	0	
0.00149	954	6	454	6	460	0	
0.0015	954	6	454	6	460	0	
0.00151	954	6	454	6	460	0	
0.00152	954	6	454	6	460	0	
0.00153	953	7	453	7	460	0	
0.00154	953	7	453	7	460	0	
0.00155	951	9	451	9	460	0	
0.00156	951	9	451	9	460	0	
0.00157	951	9	451	9	460	0	
0.00158	950	10	450	10	460	0	
0.00159	950	9	450	9	459	0	
0.0016	950	9	450	9	459	0	
0.00161	950	9	450	9	459	0	
0.00162	950	9	450	9	459	0	
0.00163	950	9	450	9	459	0	
0.00164	950	8	450	8	458	0	
0.00165	950	8	450	8	458	0	
0.00166	950	8	450	8	458	0	
0.00167	949	9	449	9	458	0	
0.00168	949	8	449	8	457	0	
0.00169	949	8	449	8	457	0	
0.0017	948	9	448	9	457	0	
0.00171	948	9	448	9	457	0	
0.00172	947	10	447	10	457	0	
0.00173	947	10	447	10	457	0	
0.00174	947	8	447	8	455	0	
0.00175	947	8	447	8	455	0	
0.00176	947	8	447	8	455	0	
0.00177	947	8	447	8	455	0	
0.00178	947	7	447	7	454	0	
0.00179	947	7	447	7	454	0	
0.0018	945	9	445	9	454	0	
0.00181	944	10	444	10	454	0	
0.00182	944	10	444	10	454	0	
0.00183	944	10	444	10	454	0	
0.00184	944	10	444	10	454	0	
0.00185	944	10	444	10	454	0	
0.00186	944	10	444	10	454	0	
0.00187	944	10	444	10	454	0	
0.00188	944	10	444	10	454	0	
0.00189	944	10	444	10	454	0	
0.0019	944	10	444	10	454	0	
0.00191	944	10	444	10	454	0	
0.00192	944	10	444	10	454	0	
0.00193	943	11	443	11	454	0	
0.00194	943	11	443	11	454	0	
0.00195	943	11	443	11	454	0	
0.00196	943	11	443	11	454	0	
0.00197	942	11	442	11	453	0	
0.00198	941	12	441	12	453	0	
0.00199	941	12	441	12	453	0	
0.002	941	12	441	12	453	0	
0.00201	941	12	441	12	453	0	
0.00202	940	13	440	13	453	0	
0.00203	940	12	440	12	452	0	
0.00204	940	12	440	12	452	0	
0.00205	940	11	440	11	451	0	
0.00206	939	12	439	12	451	0	
0.00207	939	11	439	11	450	0	
0.00208	939	10	439	10	449	0	
0.00209	939	10	439	10	449	0	
0.0021	939	9	439	9	448	0	
0.00211	938	9	438	9	447	0	
0.00212	938	9	438	9	447	0	
0.00213	938	8	438	8	446	0	
0.00214	937	9	437	9	446	0	
0.00215	937	9	437	9	446	0	
0.00216	936	9	436	9	445	0	
0.00217	936	9	436	9	445	0	
0.00218	936	9	436	9	445	0	
0.00219	936	9	436	9	445	0	
0.0022	936	8	436	8	444	0	
0.00221	936	7	436	7	443	0	
0.00222	935	8	435	8	443	0	
0.00223	935	7	435	7	442	0	
0.00224	935	7	435	7	442	0	
0.00225	934	8	434	8	442	0	
0.00226	934	8	434	8	442	0	
0.00227	934	8	434	8	442	0	
0.00228	934	8	434	8	442	0	
0.00229	933	9	433	9	442	0	
0.0023	933	8	433	8	441	0	
0.00231	933	7	433	7	440	0	
0.00232	933	7	433	7	440	0	
0.00233	933	7	433	7	440	0	
0.00234	932	7	432	7	439	0	
0.00235	932	7	432	7	439	0	
0.00236	932	6	432	6	438	0	
0.00237	932	6	432	6	438	0	
0.00238	932	6	432	6	438	0	
0.00239	932	5	432	5	437	0	
0.0024	932	5	432	5	437	0	
0.00241	931	6	431	6	437	0	
0.00242	931	6	431	6	437	0	
0.00243	931	5	431	5	436	0	
0.00244	930	6	430	6	436	0	
0.00245	930	6	430	6	436	0	
0.00246	929	7	429	7	436	0	
0.00247	929	6	429	6	435	0	
0.00248	929	7	429	7	436	0	
0.00249	929	6	429	6	435	0	
0.0025	929	6	429	6	435	0	
0.00251	929	6	429	6	435	0	
0.00252	929	6	429	6	435	0	
0.00253	929	6	429	6	435	0	
0.00254	929	6	429	6	435	0	
0.00255	929	6	429	6	435	0	
0.00256	929	6	429	6	435	0	
0.00257	929	6	429	6	435	0	
0.00258	929	6	429	6	435	0	
0.00259	929	6	429	6	435	0	
0.0026	929	6	429	6	435	0	
0.00261	928	7	428	7	435	0	
0.00262	928	7	428	7	435	0	
0.00263	928	7	428	7	435	0	
0.00264	928	8	427	9	435	1	
0.00265	928	8	427	9	435	1	
0.00266	928	8	427	9	435	1	
0.00267	925	10	424	11	434	1	
0.00268	925	10	424	11	434	1	
0.00269	924	11	423	12	434	1	
0.0027	923	13	422	14	435	1	
0.00271	923	13	422	14	435	1	
0.00272	923	12	422	13	434	1	
0.00273	924	11	422	13	433	2	
0.00274	923	11	421	13	432	2	
0.00275	923	10	421	12	431	2	
0.00276	923	10	421	12	431	2	
0.00277	923	10	421	12	431	2	
0.00278	923	9	421	11	430	2	
0.00279	923	9	421	11	430	2	
0.0028	922	10	420	12	430	2	
0.00281	920	11	419	12	430	1	
0.00282	920	11	419	12	430	1	
0.00283	920	11	419	12	430	1	
0.00284	919	11	418	12	429	1	
0.00285	919	10	418	11	428	1	
0.00286	919	10	418	11	428	1	
0.00287	919	10	418	11	428	1	
0.00288	920	10	418	12	428	2	
0.00289	919	12	417	14	429	2	
0.0029	919	11	417	13	428	2	
0.00291	919	11	417	13	428	2	
0.00292	918	11	416	13	427	2	
0.00293	917	11	415	13	426	2	
0.00294	917	10	415	12	425	2	
0.00295	917	10	415	12	425	2	
0.00296	916	8	415	9	423	1	
0.00297	916	8	415	9	423	1	
0.00298	915	9	414	10	423	1	
0.00299	913	11	412	12	423	1	
0.003	913	11	412	12	423	1	
0.00301	912	12	411	13	423	1	
0.00302	912	12	411	13	423	1	
0.00303	911	12	411	12	423	0	
0.00304	911	12	411	12	423	0	
0.00305	911	12	411	12	423	0	
0.00306	911	12	411	12	423	0	
0.00307	910	13	410	13	423	0	
0.00308	910	13	410	13	423	0	
0.00309	910	13	410	13	423	0	
0.0031	909	14	409	14	423	0	
0.00311	909	14	409	14	423	0	
0.00312	909	13	409	13	422	0	
0.00313	909	11	409	11	420	0	
0.00314	909	10	409	10	419	0	
0.00315	909	10	409	10	419	0	
0.00316	908	11	408	11	419	0	
0.00317	908	10	408	10	418	0	
0.00318	906	12	406	12	418	0	
0.00319	905	12	405	12	417	0	
0.0032	905	12	405	12	417	0	
0.00321	905	12	405	12	417	0	
0.00322	905	12	405	12	417	0	
0.00323	905	12	405	12	417	0	
0.00324	905	11	405	11	416	0	
