TIME(s)	'pip2,ap2'	'ap2,trans'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0	0
1e-05	0	0	0	0	0	0	0	0	0	0
2e-05	0	0	0	0	0	0	0	0	0	0
3e-05	1	0	0	0	0	0	0	0	0	1
4e-05	1	0	0	0	0	0	0	0	0	1
5e-05	1	0	0	0	0	0	0	0	0	1
6e-05	1	0	0	0	0	0	0	0	0	1
7e-05	1	0	0	0	0	0	0	0	0	1
8e-05	1	0	0	0	0	0	0	0	0	1
9e-05	1	0	0	0	0	0	0	0	0	1
0.0001	1	0	0	0	0	0	0	0	0	1
0.00011	1	0	0	0	0	0	0	0	0	1
0.00012	1	0	0	0	0	0	0	0	0	1
0.00013	1	0	0	0	0	0	0	0	0	1
0.00014	1	0	0	0	0	0	0	0	0	1
0.00015	1	0	0	0	0	0	0	0	0	1
0.00016	1	0	0	0	0	0	0	0	0	1
0.00017	1	0	0	0	0	0	0	0	0	1
0.00018	1	0	0	0	0	0	0	0	0	1
0.00019	1	0	0	0	0	0	0	0	0	1
0.0002	1	0	0	0	0	0	0	0	0	1
0.00021	1	0	0	0	0	0	0	0	0	1
0.00022	1	0	0	0	0	0	0	0	0	1
0.00023	1	0	0	0	0	0	0	0	0	1
0.00024	1	0	0	0	0	0	0	0	0	1
0.00025	1	0	0	0	0	0	0	0	0	1
0.00026	1	0	0	0	0	0	0	0	0	1
0.00027	2	0	0	0	0	0	0	0	0	2
0.00028	2	0	0	0	0	0	0	0	0	2
0.00029	2	1	0	0	0	0	0	0	0	3
0.0003	2	1	0	0	0	0	0	0	0	3
0.00031	2	1	0	0	0	0	0	0	0	3
0.00032	2	1	0	0	0	0	0	0	0	3
0.00033	2	1	0	0	0	0	0	0	0	3
0.00034	2	1	0	0	0	0	0	0	0	3
0.00035	2	1	0	0	0	0	0	0	0	3
0.00036	2	1	0	0	0	0	0	0	0	3
0.00037	2	1	0	0	0	0	0	0	0	3
0.00038	2	1	0	0	0	0	0	0	0	3
0.00039	2	1	0	0	0	0	0	0	0	3
0.0004	2	1	0	0	0	0	0	0	0	3
0.00041	2	1	0	0	0	0	0	0	0	3
0.00042	2	1	0	0	0	0	0	0	0	3
0.00043	2	1	0	0	0	0	0	0	0	3
0.00044	2	1	0	0	0	0	0	0	0	3
0.00045	2	1	0	0	0	0	0	0	0	3
0.00046	2	1	0	0	0	0	0	0	0	3
0.00047	2	1	0	0	0	0	0	0	0	3
0.00048	2	1	0	0	0	0	0	0	0	3
0.00049	2	1	0	0	0	0	0	0	0	3
0.0005	2	1	0	0	0	0	0	0	0	3
0.00051	2	1	0	0	0	0	0	0	0	3
0.00052	3	1	0	0	0	0	0	0	0	4
0.00053	3	1	0	0	0	0	0	0	0	4
0.00054	3	1	0	0	0	0	0	0	0	4
0.00055	3	1	0	0	0	0	0	0	0	4
0.00056	3	1	0	0	0	0	0	0	0	4
0.00057	3	1	0	0	0	0	0	0	0	4
0.00058	3	2	0	0	0	0	0	0	0	5
0.00059	3	2	0	0	0	0	0	0	0	5
0.0006	3	2	0	0	0	0	0	0	0	5
0.00061	3	2	0	0	0	0	0	0	0	5
0.00062	3	2	0	0	0	0	0	0	0	5
0.00063	3	2	0	0	0	0	0	0	0	5
0.00064	3	2	0	0	0	0	0	0	0	5
0.00065	3	2	0	0	0	0	0	0	0	5
0.00066	3	2	0	0	0	0	0	0	0	5
0.00067	3	2	0	0	0	0	0	0	0	5
0.00068	3	2	0	0	0	0	0	0	0	5
0.00069	3	2	0	0	0	0	0	0	0	5
0.0007	3	2	0	0	0	0	0	0	0	5
0.00071	3	2	0	0	0	0	0	0	0	5
0.00072	4	2	0	0	0	0	0	0	0	6
0.00073	4	3	0	0	0	0	0	0	0	7
0.00074	4	3	0	0	0	0	0	0	0	7
0.00075	4	3	0	0	0	0	0	0	0	7
0.00076	4	3	0	0	0	0	0	0	0	7
0.00077	5	3	0	0	0	0	0	0	0	8
0.00078	5	3	0	0	0	0	0	0	0	8
0.00079	5	3	0	0	0	0	0	0	0	8
0.0008	5	3	0	0	0	0	0	0	0	8
0.00081	5	3	0	0	0	0	0	0	0	8
0.00082	5	3	0	0	0	0	0	0	0	8
0.00083	5	4	0	0	0	0	0	0	0	9
0.00084	5	4	0	0	0	0	0	0	0	9
0.00085	5	4	0	0	0	0	0	0	0	9
0.00086	6	4	0	0	0	0	0	0	0	10
0.00087	6	4	0	0	0	0	0	0	0	10
0.00088	6	4	0	0	0	0	0	0	0	10
0.00089	6	4	0	0	0	0	0	0	0	10
0.0009	6	4	0	0	0	0	0	0	0	10
0.00091	6	5	0	0	0	0	0	0	0	11
0.00092	6	5	0	0	0	0	0	0	0	11
0.00093	6	5	0	0	0	0	0	0	0	11
0.00094	6	5	0	0	0	0	0	0	0	11
0.00095	6	5	0	0	0	0	0	0	0	11
0.00096	6	5	0	0	0	0	0	0	0	11
0.00097	6	5	0	0	0	0	0	0	0	11
0.00098	6	5	0	0	0	0	0	0	0	11
0.00099	6	5	0	0	0	0	0	0	0	11
0.001	6	5	0	0	0	0	0	0	0	11
0.00101	6	5	0	0	0	0	0	0	0	11
0.00102	6	5	0	0	0	0	0	0	0	11
0.00103	6	6	0	0	0	0	0	0	0	12
0.00104	6	6	0	0	0	0	0	0	0	12
0.00105	6	6	0	0	0	0	0	0	0	12
0.00106	6	6	0	0	0	0	0	0	0	12
0.00107	6	6	0	0	0	0	0	0	0	12
0.00108	7	6	0	0	0	0	0	0	0	13
0.00109	8	6	0	0	0	0	0	0	0	14
0.0011	8	6	0	0	0	0	0	0	0	14
0.00111	8	6	0	0	0	0	0	0	0	14
0.00112	8	6	0	0	0	0	0	0	0	14
0.00113	8	6	0	0	0	0	0	0	0	14
0.00114	8	6	0	0	0	0	0	0	0	14
0.00115	8	6	0	0	0	0	0	0	0	14
0.00116	8	6	0	0	0	0	0	0	0	14
0.00117	8	6	0	0	0	0	0	0	0	14
0.00118	8	6	0	0	0	0	0	0	0	14
0.00119	8	6	0	0	0	0	0	0	0	14
0.0012	8	6	0	0	0	0	0	0	0	14
0.00121	9	6	0	0	0	0	0	0	0	15
0.00122	9	6	0	0	0	0	0	0	0	15
0.00123	10	6	0	0	0	0	0	0	0	16
0.00124	10	6	0	0	0	0	0	0	0	16
0.00125	10	6	0	0	0	0	0	0	0	16
0.00126	10	6	0	0	0	0	0	0	0	16
0.00127	12	9	0	0	0	0	0	0	0	21
