Time (s),pip2(ap2),ap2(a),ap2(b),ap2(#ref),trans(ap2),trans(#pip2),trans(#ref),ap2(b!1).pip2(ap2!1),ap2(a!1).trans(ap2!1)
0,100,500,500,500,1000,1000,1000,0,0
1e-05,100,500,500,500,1000,1000,1000,0,0
2e-05,100,500,500,500,1000,1000,1000,0,0
3e-05,99,500,499,500,1000,1000,1000,1,0
4e-05,99,500,499,500,1000,1000,1000,1,0
5e-05,99,500,499,500,1000,1000,1000,1,0
6e-05,99,500,499,500,1000,1000,1000,1,0
7e-05,99,500,499,500,1000,1000,1000,1,0
8e-05,99,500,499,500,1000,1000,1000,1,0
9e-05,99,500,499,500,1000,1000,1000,1,0
0.0001,99,500,499,500,1000,1000,1000,1,0
0.00011,99,500,499,500,1000,1000,1000,1,0
0.00012,99,500,499,500,1000,1000,1000,1,0
0.00013,99,500,499,500,1000,1000,1000,1,0
0.00014,99,500,499,500,1000,1000,1000,1,0
0.00015,99,500,499,500,1000,1000,1000,1,0
0.00016,99,500,499,500,1000,1000,1000,1,0
0.00017,99,500,499,500,1000,1000,1000,1,0
0.00018,99,500,499,500,1000,1000,1000,1,0
0.00019,99,500,499,500,1000,1000,1000,1,0
0.0002,99,500,499,500,1000,1000,1000,1,0
0.00021,99,500,499,500,1000,1000,1000,1,0
0.00022,99,500,499,500,1000,1000,1000,1,0
0.00023,99,500,499,500,1000,1000,1000,1,0
0.00024,99,500,499,500,1000,1000,1000,1,0
0.00025,99,500,499,500,1000,1000,1000,1,0
0.00026,99,500,499,500,1000,1000,1000,1,0
0.00027,98,500,498,500,1000,1000,1000,2,0
0.00028,98,500,498,500,1000,1000,1000,2,0
0.00029,98,499,498,500,999,1000,1000,2,1
0.0003,98,499,498,500,999,1000,1000,2,1
0.00031,98,499,498,500,999,1000,1000,2,1
0.00032,98,499,498,500,999,1000,1000,2,1
0.00033,98,499,498,500,999,1000,1000,2,1
0.00034,98,499,498,500,999,1000,1000,2,1
0.00035,98,499,498,500,999,1000,1000,2,1
0.00036,98,499,498,500,999,1000,1000,2,1
0.00037,98,499,498,500,999,1000,1000,2,1
0.00038,98,499,498,500,999,1000,1000,2,1
0.00039,98,499,498,500,999,1000,1000,2,1
0.0004,98,499,498,500,999,1000,1000,2,1
0.00041,98,499,498,500,999,1000,1000,2,1
0.00042,98,499,498,500,999,1000,1000,2,1
0.00043,98,499,498,500,999,1000,1000,2,1
0.00044,98,499,498,500,999,1000,1000,2,1
0.00045,98,499,498,500,999,1000,1000,2,1
0.00046,98,499,498,500,999,1000,1000,2,1
0.00047,98,499,498,500,999,1000,1000,2,1
0.00048,98,499,498,500,999,1000,1000,2,1
0.00049,98,499,498,500,999,1000,1000,2,1
0.0005,98,499,498,500,999,1000,1000,2,1
0.00051,98,499,498,500,999,1000,1000,2,1
0.00052,97,499,497,500,999,1000,1000,3,1
0.00053,97,499,497,500,999,1000,1000,3,1
0.00054,97,499,497,500,999,1000,1000,3,1
0.00055,97,499,497,500,999,1000,1000,3,1
0.00056,97,499,497,500,999,1000,1000,3,1
0.00057,97,499,497,500,999,1000,1000,3,1
0.00058,97,498,497,500,998,1000,1000,3,2
0.00059,97,498,497,500,998,1000,1000,3,2
0.0006,97,498,497,500,998,1000,1000,3,2
0.00061,97,498,497,500,998,1000,1000,3,2
0.00062,97,498,497,500,998,1000,1000,3,2
0.00063,97,498,497,500,998,1000,1000,3,2
0.00064,97,498,497,500,998,1000,1000,3,2
0.00065,97,498,497,500,998,1000,1000,3,2
0.00066,97,498,497,500,998,1000,1000,3,2
0.00067,97,498,497,500,998,1000,1000,3,2
0.00068,97,498,497,500,998,1000,1000,3,2
0.00069,97,498,497,500,998,1000,1000,3,2
0.0007,97,498,497,500,998,1000,1000,3,2
0.00071,97,498,497,500,998,1000,1000,3,2
0.00072,96,498,496,500,998,1000,1000,4,2
0.00073,96,497,496,500,997,1000,1000,4,3
0.00074,96,497,496,500,997,1000,1000,4,3
0.00075,96,497,496,500,997,1000,1000,4,3
0.00076,96,497,496,500,997,1000,1000,4,3
0.00077,95,497,495,500,997,1000,1000,5,3
0.00078,95,497,495,500,997,1000,1000,5,3
0.00079,95,497,495,500,997,1000,1000,5,3
0.0008,95,497,495,500,997,1000,1000,5,3
0.00081,95,497,495,500,997,1000,1000,5,3
0.00082,95,497,495,500,997,1000,1000,5,3
0.00083,95,496,495,500,996,1000,1000,5,4
0.00084,95,496,495,500,996,1000,1000,5,4
0.00085,95,496,495,500,996,1000,1000,5,4
0.00086,94,496,494,500,996,1000,1000,6,4
0.00087,94,496,494,500,996,1000,1000,6,4
0.00088,94,496,494,500,996,1000,1000,6,4
0.00089,94,496,494,500,996,1000,1000,6,4
0.0009,94,496,494,500,996,1000,1000,6,4
0.00091,94,495,494,500,995,1000,1000,6,5
0.00092,94,495,494,500,995,1000,1000,6,5
0.00093,94,495,494,500,995,1000,1000,6,5
0.00094,94,495,494,500,995,1000,1000,6,5
0.00095,94,495,494,500,995,1000,1000,6,5
0.00096,94,495,494,500,995,1000,1000,6,5
0.00097,94,495,494,500,995,1000,1000,6,5
0.00098,94,495,494,500,995,1000,1000,6,5
0.00099,94,495,494,500,995,1000,1000,6,5
0.001,94,495,494,500,995,1000,1000,6,5
